utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670544721,2022,12,08,17,12,01,57.240000,91,56.930000,1020,4.210000,354,1670504415,1670540010,98
1670548325,2022,12,08,18,12,05,57.240000,92,56.980000,1020,4.340000,11,1670504415,1670540010,100
1670552228,2022,12,08,19,17,08,57.250000,91,56.950000,1020,5.190000,27,1670504413,1670540010,100
1670555532,2022,12,08,20,12,12,57.240000,91,56.930000,1020,4.940000,30,1670504415,1670540010,100
1670559433,2022,12,08,21,17,13,55.450000,93,55.080000,1020,3.870000,33,1670504413,1670540010,100
1670563029,2022,12,08,22,17,09,55.450000,94,55.110000,1020,4.090000,47,1670504413,1670540010,100
1670566342,2022,12,08,23,12,22,55.440000,94,55.090000,1020,4.180000,27,1670590861,1670626416,100
1670570231,2022,12,09,00,17,11,55.450000,94,55.110000,1020,3.780000,21,1670590859,1670626416,100
1670573549,2022,12,09,01,12,29,53.640000,94,53.110000,1020,3.830000,40,1670590861,1670626416,100
1670577428,2022,12,09,02,17,08,55.450000,93,55.080000,1019,4.450000,11,1670590859,1670626416,100
1670581033,2022,12,09,03,17,13,53.650000,93,53.100000,1019,5.460000,9,1670590859,1670626416,100
1670584275,2022,12,09,04,11,15,53.640000,93,53.080000,1020,5.260000,10,1670590861,1670626416,99
1670588229,2022,12,09,05,17,09,53.650000,92,53.040000,1020,3.530000,14,1670590859,1670626416,100
1670591483,2022,12,09,06,11,23,53.640000,93,53.080000,1021,2.130000,44,1670590861,1670626416,87
1670595087,2022,12,09,07,11,27,53.640000,90,52.930000,1021,4.000000,2,1670590861,1670626416,93
1670598690,2022,12,09,08,11,30,55.440000,83,54.570000,1021,6.400000,353,1670590861,1670626416,72
1670602629,2022,12,09,09,17,09,55.450000,79,54.410000,1022,6.640000,351,1670590859,1670626416,80
1670606235,2022,12,09,10,17,15,57.250000,75,56.210000,1021,7.200000,354,1670590859,1670626416,84
1670609500,2022,12,09,11,11,40,57.240000,71,55.990000,1020,6.150000,348,1670590861,1670626416,86
1670613437,2022,12,09,12,17,17,57.250000,68,55.870000,1020,5.640000,334,1670590859,1670626416,100
1670617032,2022,12,09,13,17,12,59.050000,62,57.580000,1019,5.770000,335,1670590859,1670626416,99
1670620630,2022,12,09,14,17,10,59.050000,60,57.490000,1019,5.440000,338,1670590859,1670626416,99
1670623916,2022,12,09,15,11,56,59.040000,64,57.650000,1019,4.470000,355,1670590861,1670626416,99
1670627519,2022,12,09,16,11,59,57.240000,66,55.760000,1020,5.410000,16,1670590861,1670626416,100
1670631123,2022,12,09,17,12,03,55.440000,63,53.640000,1020,5.280000,23,1670590861,1670626416,100
1670635030,2022,12,09,18,17,10,55.450000,60,53.530000,1021,5.860000,34,1670590859,1670626416,100
1670638630,2022,12,09,19,17,10,53.650000,60,51.550000,1021,6.240000,40,1670590859,1670626416,100
1670642230,2022,12,09,20,17,10,53.650000,60,51.550000,1021,5.950000,39,1670590859,1670626416,98
1670645831,2022,12,09,21,17,11,53.650000,62,51.640000,1021,5.730000,50,1670590859,1670626416,100
1670649140,2022,12,09,22,12,20,53.640000,65,51.750000,1021,6.080000,46,1670590861,1670626416,99
1670653032,2022,12,09,23,17,12,53.650000,68,51.910000,1021,6.290000,70,1670677304,1670712823,99
1670656346,2022,12,10,00,12,26,53.640000,69,51.940000,1021,6.380000,71,1670677306,1670712823,98
1670659950,2022,12,10,01,12,30,53.640000,70,52.000000,1021,5.880000,62,1670677306,1670712823,98
1670663832,2022,12,10,02,17,12,53.650000,70,52.020000,1021,2.890000,56,1670677304,1670712823,97
1670667432,2022,12,10,03,17,12,53.650000,73,52.140000,1021,7.070000,41,1670677304,1670712823,98
1670671030,2022,12,10,04,17,10,53.080000,71,51.420000,1020,5.750000,58,1670677304,1670712823,98
1670674634,2022,12,10,05,17,14,53.650000,70,52.020000,1021,5.680000,46,1670677304,1670712823,98
1670678231,2022,12,10,06,17,11,53.650000,73,52.140000,1020,7.340000,86,1670677304,1670712823,100
1670681487,2022,12,10,07,11,27,55.440000,74,54.160000,1020,6.870000,97,1670677306,1670712823,100
1670685435,2022,12,10,08,17,15,55.450000,77,54.320000,1020,7.920000,91,1670677304,1670712823,100
1670689031,2022,12,10,09,17,11,57.250000,83,56.590000,1021,6.200000,33,1670677304,1670712823,100
1670692630,2022,12,10,10,17,10,53.650000,93,53.100000,1020,7.020000,43,1670677304,1670712823,100
1670696230,2022,12,10,11,17,10,50.050000,95,49.230000,1020,8.840000,50,1670677304,1670712823,100
1670699831,2022,12,10,12,17,11,48.250000,92,44.530000,1019,8.250000,52,1670677304,1670712823,100
1670703430,2022,12,10,13,17,10,50.050000,91,49.030000,1019,6.460000,61,1670677304,1670712823,100
1670706709,2022,12,10,14,11,49,50.040000,92,49.060000,1018,3.910000,72,1670677306,1670712823,100
1670710312,2022,12,10,15,11,52,51.840000,94,51.130000,1018,2.080000,59,1670677306,1670712823,100
1670714230,2022,12,10,16,17,10,51.850000,94,51.150000,1019,6.780000,0,1670677304,1670712823,100
1670717518,2022,12,10,17,11,58,51.840000,93,51.100000,1020,7.700000,353,1670677306,1670712823,100
1670721122,2022,12,10,18,12,02,51.840000,92,51.040000,1020,8.140000,5,1670677306,1670712823,100
1670725030,2022,12,10,19,17,10,51.850000,90,50.970000,1020,8.930000,13,1670677304,1670712823,100
1670728631,2022,12,10,20,17,11,50.050000,88,48.900000,1021,5.930000,31,1670677304,1670712823,100
1670732230,2022,12,10,21,17,10,50.050000,88,48.900000,1021,7.400000,23,1670677304,1670712823,100
1670735830,2022,12,10,22,17,10,50.050000,87,48.850000,1021,6.260000,27,1670677304,1670712823,100
1670739430,2022,12,10,23,17,10,50.050000,87,48.850000,1021,6.170000,6,1670763748,1670799233,100
1670743034,2022,12,11,00,17,14,50.050000,89,48.940000,1020,8.100000,22,1670763748,1670799233,100
1670746630,2022,12,11,01,17,10,50.050000,88,48.900000,1021,6.330000,13,1670763748,1670799233,100
1670750230,2022,12,11,02,17,10,50.050000,88,48.900000,1021,7.830000,22,1670763748,1670799233,100
1670753829,2022,12,11,03,17,09,48.250000,88,45.010000,1021,7.140000,18,1670763748,1670799233,100
1670757431,2022,12,11,04,17,11,48.250000,88,44.560000,1021,8.190000,15,1670763748,1670799233,100
1670761030,2022,12,11,05,17,10,48.250000,87,44.980000,1022,7.230000,19,1670763748,1670799233,100
1670764631,2022,12,11,06,17,11,48.070000,87,44.110000,1021,8.750000,20,1670763748,1670799233,100
1670768230,2022,12,11,07,17,10,48.250000,85,44.060000,1022,9.480000,28,1670763748,1670799233,100
1670771490,2022,12,11,08,11,30,50.040000,81,48.540000,1022,11.160000,32,1670763750,1670799233,100
1670775093,2022,12,11,09,11,33,50.040000,78,48.400000,1023,11.450000,34,1670763750,1670799233,100
