utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1667255093,2022,10,31,16,24,53,68.810000,45,67.510000,1012,4.610000,330,1667226691,1667264843
1667258439,2022,10,31,17,20,39,69.330000,44,68.040000,1011,0.000000,0,1667226691,1667264843
1667261348,2022,10,31,18,09,08,68.990000,45,67.710000,1011,0.000000,0,1667226691,1667264843
1667264419,2022,10,31,19,00,19,67.390000,50,66.180000,1010,0.000000,0,1667226691,1667264843
1667268017,2022,10,31,20,00,17,62.920000,58,61.650000,1010,3.440000,220,1667226691,1667264843
1667271603,2022,10,31,21,00,03,60.080000,64,58.800000,1010,4.610000,180,1667226691,1667264843,0
1667275201,2022,10,31,22,00,01,58.150000,68,56.860000,1010,4.610000,100,1667226691,1667264843,0
1667278802,2022,10,31,23,00,02,55.810000,72,54.480000,1010,4.610000,160,1667226691,1667264843,0
1667282402,2022,11,01,00,00,02,56.050000,75,54.880000,1011,8.050000,170,1667226691,1667264843,0
1667286002,2022,11,01,01,00,02,54.640000,77,53.420000,1010,8.050000,190,1667313157,1667351175,0
1667289602,2022,11,01,02,00,02,53.060000,80,51.820000,1010,9.220000,170,1667313157,1667351175,0
1667293202,2022,11,01,03,00,02,52.020000,82,50.770000,1010,9.220000,170,1667313157,1667351175,20
1667296802,2022,11,01,04,00,02,51.080000,88,50.020000,1010,9.220000,140,1667313157,1667351175,0
1667300433,2022,11,01,05,00,33,51.080000,88,50.020000,1010,10.360000,140,1667313157,1667351175,0
1667304002,2022,11,01,06,00,02,51.580000,88,50.580000,1009,11.500000,140,1667313157,1667351175,20
1667307602,2022,11,01,07,00,02,52.380000,88,51.460000,1011,10.360000,140,1667313157,1667351175,0
1667311201,2022,11,01,08,00,01,52.930000,88,52.070000,1010,11.500000,150,1667313157,1667351175,75
1667314803,2022,11,01,09,00,03,53.510000,86,52.610000,1010,11.500000,150,1667313157,1667351175,75
1667318417,2022,11,01,10,00,17,55.440000,84,54.630000,1010,11.500000,150,1667313157,1667351175,100
