utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1667255101,2022,10,31,16,25,01,57.340000,80,56.530000,1014,9.220000,120,1667216280,1667253906
1667258447,2022,10,31,17,20,47,56.230000,81,55.360000,1014,4.610000,0,1667216280,1667253906
1667261360,2022,10,31,18,09,20,56.230000,85,55.540000,1014,5.750000,100,1667216280,1667253906
1667264434,2022,10,31,19,00,34,55.890000,89,55.360000,1014,1.010000,63,1667216280,1667253906
1667268029,2022,10,31,20,00,29,54.970000,91,54.450000,1014,3.440000,140,1667216280,1667253906
1667271619,2022,10,31,21,00,19,54.450000,94,54.010000,1014,0.000000,0,1667216280,1667253906,100
1667275218,2022,10,31,22,00,18,54.140000,94,53.670000,1014,0.670000,21,1667302752,1667340232,100
1667278818,2022,10,31,23,00,18,53.890000,97,53.530000,1014,3.440000,70,1667302752,1667340232,100
1667282417,2022,11,01,00,00,17,53.890000,97,53.530000,1014,0.000000,0,1667302752,1667340232,100
1667286016,2022,11,01,01,00,16,53.890000,97,53.530000,1015,0.000000,0,1667302752,1667340232,100
1667289617,2022,11,01,02,00,17,53.850000,98,53.550000,1014,0.000000,0,1667302752,1667340232,100
1667293215,2022,11,01,03,00,15,53.850000,98,53.550000,1014,0.000000,0,1667302752,1667340232,100
1667296826,2022,11,01,04,00,26,53.800000,98,53.490000,1015,3.440000,330,1667302752,1667340232,100
1667300446,2022,11,01,05,00,46,53.650000,98,53.330000,1015,0.000000,0,1667302752,1667340232,100
1667304032,2022,11,01,06,00,32,53.870000,98,53.560000,1015,0.000000,0,1667302752,1667340232,100
1667307618,2022,11,01,07,00,18,53.940000,98,53.640000,1016,3.440000,270,1667302752,1667340232,100
1667311231,2022,11,01,08,00,31,54.460000,98,54.210000,1016,3.440000,250,1667302752,1667340232,100
1667314847,2022,11,01,09,00,47,55.760000,97,55.600000,1017,3.440000,270,1667302752,1667340232,100
1667318435,2022,11,01,10,00,35,57.000000,97,56.970000,1017,1.010000,230,1667302752,1667340232,95
1667322028,2022,11,01,11,00,28,59.310000,96,59.450000,1017,1.010000,226,1667302752,1667340232,96
1667325634,2022,11,01,12,00,34,61.930000,90,62.060000,1016,3.440000,0,1667302752,1667340232,75
1667329224,2022,11,01,13,00,24,64.800000,85,64.980000,1016,3.000000,267,1667302752,1667340232,100
1667332817,2022,11,01,14,00,17,65.120000,82,65.190000,1018,6.380000,286,1667302752,1667340232,100
1667336414,2022,11,01,15,00,14,65.100000,86,65.350000,1018,4.410000,290,1667302752,1667340232,100
1667340014,2022,11,01,16,00,14,64.040000,89,64.330000,1018,3.420000,285,1667302752,1667340232,100
1667343626,2022,11,01,17,00,26,61.830000,87,61.790000,1018,3.650000,298,1667302752,1667340232,100
1667347236,2022,11,01,18,00,36,58.930000,92,58.840000,1019,4.990000,308,1667302752,1667340232,97
1667350822,2022,11,01,19,00,22,57.130000,91,56.820000,1020,5.010000,309,1667302752,1667340232,97
1667354424,2022,11,01,20,00,24,55.420000,94,55.080000,1020,4.290000,303,1667302752,1667340232,54
1667358020,2022,11,01,21,00,20,54.340000,95,53.940000,1021,3.510000,298,1667302752,1667340232,59
1667361616,2022,11,01,22,00,16,52.680000,96,52.160000,1022,4.090000,289,1667389225,1667426559,59
1667365219,2022,11,01,23,00,19,50.680000,95,49.910000,1022,5.750000,320,1667389225,1667426559,20
1667368816,2022,11,02,00,00,16,49.370000,97,49.370000,1023,1.010000,281,1667389225,1667426559,39
1667372422,2022,11,02,01,00,22,48.870000,97,47.700000,1023,3.830000,291,1667389225,1667426559,0
1667376023,2022,11,02,02,00,23,47.340000,97,45.880000,1024,3.890000,292,1667389225,1667426559,0
1667379619,2022,11,02,03,00,19,46.760000,97,45.090000,1025,4.050000,300,1667389225,1667426559,0
1667383218,2022,11,02,04,00,18,47.590000,96,45.640000,1026,4.610000,0,1667389225,1667426559,75
1667386827,2022,11,02,05,00,27,45.680000,97,44.190000,1026,3.650000,304,1667389225,1667426559,0
1667390434,2022,11,02,06,00,34,44.560000,97,42.780000,1027,3.780000,299,1667389225,1667426559,0
1667394029,2022,11,02,07,00,29,47.570000,97,45.630000,1027,4.610000,280,1667389225,1667426559,100
1667397624,2022,11,02,08,00,24,55.920000,79,54.930000,1029,2.840000,323,1667389225,1667426559,0
1667401225,2022,11,02,09,00,25,55.400000,85,54.630000,1028,6.910000,270,1667389225,1667426559,0
1667404820,2022,11,02,10,00,20,59.450000,81,58.910000,1028,1.010000,226,1667389225,1667426559,0
1667408420,2022,11,02,11,00,20,62.530000,72,61.860000,1027,3.000000,210,1667389225,1667426559,0
1667412022,2022,11,02,12,00,22,64.760000,65,63.990000,1026,1.990000,218,1667389225,1667426559,0
1667415622,2022,11,02,13,00,22,67.440000,57,66.560000,1025,1.990000,213,1667389225,1667426559,0
1667419220,2022,11,02,14,00,20,68.360000,52,67.330000,1025,1.990000,224,1667389225,1667426559,3
1667422826,2022,11,02,15,00,26,66.760000,56,65.770000,1026,2.330000,62,1667389225,1667426559,16
1667426427,2022,11,02,16,00,27,60.150000,71,59.200000,1025,1.990000,39,1667389225,1667426559,27
1667430019,2022,11,02,17,00,19,55.780000,79,54.770000,1025,2.370000,35,1667389225,1667426559,37
1667433625,2022,11,02,18,00,25,52.320000,85,51.240000,1026,2.150000,17,1667389225,1667426559,37
1667437232,2022,11,02,19,00,32,50.200000,89,49.100000,1026,1.010000,275,1667389225,1667426559,6
1667440826,2022,11,02,20,00,26,48.560000,91,48.560000,1026,1.790000,359,1667389225,1667426559,8
1667444417,2022,11,02,21,00,17,47.010000,94,47.010000,1027,1.790000,18,1667389225,1667426559,8
1667448018,2022,11,02,22,00,18,45.550000,94,45.550000,1027,1.160000,3,1667475697,1667512887,14
1667451629,2022,11,02,23,00,29,44.350000,95,44.350000,1027,0.920000,45,1667475697,1667512887,12
1667455222,2022,11,03,00,00,22,44.040000,95,44.040000,1027,0.000000,0,1667475697,1667512887,0
1667458818,2022,11,03,01,00,18,42.030000,95,42.030000,1027,0.000000,0,1667475697,1667512887,0
1667462415,2022,11,03,02,00,15,40.820000,97,40.820000,1027,0.000000,0,1667475697,1667512887,100
1667466018,2022,11,03,03,00,18,40.280000,98,40.280000,1028,0.000000,0,1667475697,1667512887,0
1667469615,2022,11,03,04,00,15,39.870000,98,39.870000,1028,0.000000,0,1667475697,1667512887,100
1667473216,2022,11,03,05,00,16,40.390000,94,40.390000,1029,1.140000,62,1667475697,1667512887,2
1667476819,2022,11,03,06,00,19,39.940000,97,39.940000,1028,1.160000,108,1667475697,1667512887,1
1667480457,2022,11,03,07,00,57,40.230000,96,40.230000,1027,0.940000,116,1667475697,1667512887,0
1667484020,2022,11,03,08,00,20,40.980000,100,40.980000,1030,0.000000,0,1667475697,1667512887,100
1667487624,2022,11,03,09,00,24,61.020000,62,59.740000,1028,2.730000,136,1667475697,1667512887,0
1667491228,2022,11,03,10,00,28,48.290000,100,48.290000,1029,0.000000,0,1667475697,1667512887,100
1667494824,2022,11,03,11,00,24,60.220000,74,59.430000,1027,4.000000,90,1667475697,1667512887,0
1667498425,2022,11,03,12,00,25,66.430000,48,65.030000,1026,4.000000,204,1667475697,1667512887,0
1667502025,2022,11,03,13,00,25,67.840000,42,66.290000,1026,11.500000,160,1667475697,1667512887,0
1667505617,2022,11,03,14,00,17,67.800000,41,66.220000,1025,3.000000,142,1667475697,1667512887,0
1667509225,2022,11,03,15,00,25,66.000000,40,64.180000,1024,1.990000,116,1667475697,1667512887,0
1667512820,2022,11,03,16,00,20,59.540000,63,58.150000,1026,3.560000,149,1667475697,1667512887,0
1667516413,2022,11,03,17,00,13,55.630000,62,53.820000,1025,1.010000,351,1667475697,1667512887,0
1667520022,2022,11,03,18,00,22,52.590000,69,50.790000,1025,1.010000,333,1667475697,1667512887,0
1667523613,2022,11,03,19,00,13,50.580000,74,48.810000,1025,1.320000,130,1667475697,1667512887,0
1667527226,2022,11,03,20,00,26,48.450000,78,48.450000,1026,1.010000,107,1667475697,1667512887,0
1667530815,2022,11,03,21,00,15,46.960000,81,46.960000,1026,1.970000,98,1667475697,1667512887,0
1667534421,2022,11,03,22,00,21,44.530000,85,44.530000,1026,1.010000,220,1667562170,1667599217,1
1667538029,2022,11,03,23,00,29,43.520000,88,43.520000,1026,2.100000,111,1667562170,1667599217,2
1667541619,2022,11,04,00,00,19,42.840000,89,42.840000,1025,2.060000,113,1667562170,1667599217,1
1667545221,2022,11,04,01,00,21,43.000000,90,43.000000,1025,2.570000,110,1667562170,1667599217,5
1667548830,2022,11,04,02,00,30,42.030000,93,42.030000,1025,2.010000,107,1667562170,1667599217,2
1667552424,2022,11,04,03,00,24,41.700000,93,41.700000,1025,1.970000,108,1667562170,1667599217,2
1667556025,2022,11,04,04,00,25,40.680000,94,40.680000,1026,2.060000,112,1667562170,1667599217,3
1667559616,2022,11,04,05,00,16,40.100000,95,40.100000,1026,1.920000,119,1667562170,1667599217,4
1667563259,2022,11,04,06,00,59,41.900000,92,41.900000,1027,1.590000,117,1667562170,1667599217,20
1667566832,2022,11,04,07,00,32,48.090000,91,48.090000,1028,1.320000,129,1667562170,1667599217,100
1667570429,2022,11,04,08,00,29,48.510000,85,48.510000,1027,2.570000,131,1667562170,1667599217,100
1667574062,2022,11,04,09,01,02,53.280000,82,52.160000,1027,1.990000,87,1667562170,1667599217,100
1667577623,2022,11,04,10,00,23,60.440000,76,59.760000,1026,3.000000,83,1667562170,1667599217,100
1667581222,2022,11,04,11,00,22,64.220000,71,63.680000,1025,5.010000,68,1667562170,1667599217,82
1667584818,2022,11,04,12,00,18,67.500000,67,67.100000,1024,4.000000,145,1667562170,1667599217,72
1667588423,2022,11,04,13,00,23,69.370000,64,69.010000,1023,3.000000,164,1667562170,1667599217,11
1667592026,2022,11,04,14,00,26,69.750000,62,69.330000,1022,1.990000,164,1667562170,1667599217,30
1667595621,2022,11,04,15,00,21,68.360000,65,67.950000,1024,6.150000,165,1667562170,1667599217,25
1667599221,2022,11,04,16,00,21,64.000000,84,64.060000,1023,4.520000,147,1667562170,1667599217,33
1667602834,2022,11,04,17,00,34,61.880000,89,61.950000,1024,3.200000,145,1667562170,1667599217,46
1667606443,2022,11,04,18,00,43,59.320000,92,59.290000,1024,2.980000,132,1667562170,1667599217,55
1667610012,2022,11,04,19,00,12,59.860000,95,60.010000,1024,3.270000,130,1667562170,1667599217,100
1667613626,2022,11,04,20,00,26,60.080000,79,59.500000,1024,3.040000,127,1667562170,1667599217,100
1667617218,2022,11,04,21,00,18,58.960000,83,58.460000,1023,2.770000,129,1667562170,1667599217,92
1667620815,2022,11,04,22,00,15,58.950000,86,58.590000,1022,3.020000,123,1667648643,1667685549,94
1667624421,2022,11,04,23,00,21,58.320000,83,57.740000,1022,1.010000,108,1667648643,1667685549,95
1667628019,2022,11,05,00,00,19,58.480000,87,58.120000,1021,3.060000,121,1667648643,1667685549,96
