utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1667255107,2022,10,31,16,25,07,72.300000,6,69.510000,1016,7.310000,176,1667216058,1667255155
1667258450,2022,10,31,17,20,50,70.050000,100,71.460000,1016,6.910000,174,1667216058,1667255155
1667261364,2022,10,31,18,09,24,69.240000,100,70.570000,1016,6.980000,173,1667216058,1667255155
1667264438,2022,10,31,19,00,38,68.540000,100,69.800000,1016,7.180000,173,1667216058,1667255155
1667268033,2022,10,31,20,00,33,68.500000,100,69.750000,1016,7.310000,175,1667216058,1667255155
1667271623,2022,10,31,21,00,23,67.060000,100,68.160000,1017,7.450000,177,1667216058,1667255155,96
1667275223,2022,10,31,22,00,23,65.210000,100,66.130000,1017,8.140000,180,1667302511,1667341499,84
1667278822,2022,10,31,23,00,22,64.650000,100,65.520000,1017,8.390000,184,1667302511,1667341499,81
1667282422,2022,11,01,00,00,22,64.110000,100,64.920000,1017,8.370000,187,1667302511,1667341499,71
1667286020,2022,11,01,01,00,20,63.450000,100,64.180000,1017,7.200000,200,1667302511,1667341499,23
1667289621,2022,11,01,02,00,21,63.410000,100,64.150000,1017,6.640000,213,1667302511,1667341499,35
1667293218,2022,11,01,03,00,18,62.640000,100,63.300000,1017,5.880000,222,1667302511,1667341499,52
1667296831,2022,11,01,04,00,31,62.130000,100,62.740000,1017,5.570000,244,1667302511,1667341499,47
1667300450,2022,11,01,05,00,50,62.190000,100,62.800000,1018,4.850000,255,1667302511,1667341499,51
1667304038,2022,11,01,06,00,38,63.680000,100,64.450000,1018,4.590000,259,1667302511,1667341499,47
1667307623,2022,11,01,07,00,23,66.400000,100,67.440000,1019,4.030000,267,1667302511,1667341499,5
1667311237,2022,11,01,08,00,37,68.830000,100,70.110000,1020,4.560000,278,1667302511,1667341499,4
1667314854,2022,11,01,09,00,54,68.380000,77,68.540000,1020,4.340000,280,1667302511,1667341499,3
1667318441,2022,11,01,10,00,41,68.360000,73,68.320000,1019,4.160000,276,1667302511,1667341499,3
1667322034,2022,11,01,11,00,34,75.240000,67,75.610000,1019,4.070000,262,1667302511,1667341499,3
1667325639,2022,11,01,12,00,39,76.930000,39,76.150000,1018,3.530000,262,1667302511,1667341499,18
1667329237,2022,11,01,13,00,37,79.480000,56,79.480000,1018,5.570000,292,1667302511,1667341499,100
1667332822,2022,11,01,14,00,22,78.820000,57,78.820000,1018,6.400000,304,1667302511,1667341499,100
1667336417,2022,11,01,15,00,17,78.600000,58,78.890000,1018,6.150000,316,1667302511,1667341499,100
1667340019,2022,11,01,16,00,19,74.070000,46,73.330000,1018,5.770000,328,1667302511,1667341499,100
1667343634,2022,11,01,17,00,34,69.060000,18,66.510000,1019,6.150000,328,1667302511,1667341499,100
1667347240,2022,11,01,18,00,40,66.290000,100,67.320000,1021,5.910000,332,1667302511,1667341499,97
1667350835,2022,11,01,19,00,35,64.630000,100,65.500000,1021,6.640000,331,1667302511,1667341499,82
1667354431,2022,11,01,20,00,31,63.340000,100,64.080000,1021,6.200000,336,1667302511,1667341499,89
1667358024,2022,11,01,21,00,24,61.290000,100,61.810000,1022,5.500000,348,1667302511,1667341499,93
1667361620,2022,11,01,22,00,20,59.900000,100,60.300000,1022,5.640000,351,1667388965,1667427845,95
1667365225,2022,11,01,23,00,25,58.710000,100,58.980000,1022,5.820000,357,1667388965,1667427845,96
1667368822,2022,11,02,00,00,22,56.840000,73,55.650000,1022,6.240000,10,1667388965,1667427845,96
1667372427,2022,11,02,01,00,27,56.820000,77,55.830000,1022,6.380000,6,1667388965,1667427845,100
1667376027,2022,11,02,02,00,27,56.010000,73,54.750000,1022,7.250000,7,1667388965,1667427845,100
1667379624,2022,11,02,03,00,24,56.800000,70,55.470000,1022,8.050000,16,1667388965,1667427845,100
1667383223,2022,11,02,04,00,23,55.150000,70,53.650000,1022,8.100000,20,1667388965,1667427845,100
1667386830,2022,11,02,05,00,30,56.550000,70,55.200000,1023,8.230000,25,1667388965,1667427845,100
1667390438,2022,11,02,06,00,38,56.570000,100,56.620000,1023,8.050000,28,1667388965,1667427845,99
1667394034,2022,11,02,07,00,34,57.920000,100,58.120000,1024,8.630000,32,1667388965,1667427845,93
1667397631,2022,11,02,08,00,31,64.400000,33,62.100000,1025,9.100000,43,1667388965,1667427845,91
1667401232,2022,11,02,09,00,32,68.410000,52,67.410000,1025,9.150000,52,1667388965,1667427845,91
1667404824,2022,11,02,10,00,24,70.610000,55,69.960000,1025,9.780000,63,1667388965,1667427845,76
1667408429,2022,11,02,11,00,29,72.840000,58,72.550000,1024,9.910000,73,1667388965,1667427845,61
1667412028,2022,11,02,12,00,28,75.160000,67,75.520000,1023,9.040000,77,1667388965,1667427845,52
1667415630,2022,11,02,13,00,30,76.140000,67,76.600000,1023,9.260000,82,1667388965,1667427845,4
1667419224,2022,11,02,14,00,24,75.470000,68,75.920000,1022,9.330000,89,1667388965,1667427845,3
1667422831,2022,11,02,15,00,31,72.500000,60,72.270000,1023,8.010000,87,1667388965,1667427845,3
1667426431,2022,11,02,16,00,31,69.600000,60,69.080000,1023,6.600000,85,1667388965,1667427845,2
1667430023,2022,11,02,17,00,23,65.800000,56,64.720000,1023,6.620000,89,1667388965,1667427845,4
1667433630,2022,11,02,18,00,30,62.490000,13,59.050000,1024,6.710000,82,1667388965,1667427845,7
1667437236,2022,11,02,19,00,36,61.920000,2,57.900000,1024,7.870000,81,1667388965,1667427845,49
1667440830,2022,11,02,20,00,30,64.470000,12,61.180000,1023,7.760000,69,1667388965,1667427845,58
1667444421,2022,11,02,21,00,21,64.560000,19,61.610000,1023,8.970000,76,1667388965,1667427845,59
1667448022,2022,11,02,22,00,22,62.650000,11,59.140000,1024,8.480000,66,1667475419,1667514192,63
1667451635,2022,11,02,23,00,35,61.430000,2,57.360000,1023,6.850000,43,1667475419,1667514192,55
1667455227,2022,11,03,00,00,27,60.660000,100,61.120000,1023,7.520000,37,1667475419,1667514192,50
1667458823,2022,11,03,01,00,23,59.430000,100,59.770000,1023,9.890000,36,1667475419,1667514192,27
1667462420,2022,11,03,02,00,20,59.180000,100,59.500000,1023,10.850000,32,1667475419,1667514192,24
1667466023,2022,11,03,03,00,23,58.800000,100,59.090000,1023,10.020000,29,1667475419,1667514192,24
1667469619,2022,11,03,04,00,19,57.670000,100,57.830000,1023,9.930000,27,1667475419,1667514192,19
1667473221,2022,11,03,05,00,21,56.880000,100,56.970000,1023,10.020000,22,1667475419,1667514192,15
1667476823,2022,11,03,06,00,23,56.820000,100,56.910000,1024,10.400000,21,1667475419,1667514192,13
1667480462,2022,11,03,07,01,02,59.040000,75,58.170000,1024,11.210000,23,1667475419,1667514192,1
1667484027,2022,11,03,08,00,27,62.170000,39,59.920000,1025,12.840000,32,1667475419,1667514192,0
1667487635,2022,11,03,09,00,35,66.110000,59,65.190000,1025,12.460000,32,1667475419,1667514192,0
1667491232,2022,11,03,10,00,32,69.550000,56,68.830000,1024,11.480000,31,1667475419,1667514192,0
1667494832,2022,11,03,11,00,32,72.090000,59,71.760000,1024,10.160000,29,1667475419,1667514192,0
1667498433,2022,11,03,12,00,33,72.810000,61,72.660000,1023,9.950000,35,1667475419,1667514192,0
1667502030,2022,11,03,13,00,30,74.100000,52,73.650000,1022,10.180000,43,1667475419,1667514192,0
1667505622,2022,11,03,14,00,22,73.440000,58,73.200000,1022,9.710000,52,1667475419,1667514192,0
1667509233,2022,11,03,15,00,33,72.750000,60,72.550000,1022,8.140000,66,1667475419,1667514192,0
1667512824,2022,11,03,16,00,24,70.720000,63,70.450000,1023,6.710000,72,1667475419,1667514192,0
1667516420,2022,11,03,17,00,20,64.220000,40,62.220000,1023,7.960000,70,1667475419,1667514192,0
1667520027,2022,11,03,18,00,27,61.380000,17,58.010000,1023,8.570000,57,1667475419,1667514192,0
1667523618,2022,11,03,19,00,18,60.620000,9,56.800000,1024,6.850000,36,1667475419,1667514192,0
1667527230,2022,11,03,20,00,30,59.430000,3,55.220000,1024,7.650000,33,1667475419,1667514192,0
1667530820,2022,11,03,21,00,20,59.560000,1,55.260000,1024,8.160000,36,1667475419,1667514192,0
1667534426,2022,11,03,22,00,26,58.410000,1,54.000000,1024,8.160000,31,1667561874,1667600540,0
1667538033,2022,11,03,23,00,33,57.650000,100,57.810000,1023,7.920000,33,1667561874,1667600540,0
1667541623,2022,11,04,00,00,23,57.270000,100,57.400000,1023,8.250000,27,1667561874,1667600540,0
1667545227,2022,11,04,01,00,27,57.560000,100,57.720000,1023,7.920000,15,1667561874,1667600540,1
1667548835,2022,11,04,02,00,35,57.130000,100,57.240000,1023,7.810000,8,1667561874,1667600540,1
1667552430,2022,11,04,03,00,30,57.130000,100,57.240000,1022,8.460000,10,1667561874,1667600540,1
1667556029,2022,11,04,04,00,29,57.130000,100,57.240000,1022,9.170000,18,1667561874,1667600540,1
1667559620,2022,11,04,05,00,20,56.710000,100,56.790000,1023,9.220000,17,1667561874,1667600540,0
1667563266,2022,11,04,06,01,06,56.710000,100,56.790000,1023,9.260000,15,1667561874,1667600540,0
