utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1667255095,2022,10,31,16,24,55,59.340000,34,56.570000,1017,2.060000,261,1667224498,1667262317
1667258441,2022,10,31,17,20,41,58.410000,35,55.600000,1016,1.830000,268,1667224498,1667262317
1667261352,2022,10,31,18,09,12,54.550000,39,51.550000,1016,0.780000,267,1667224498,1667262317
1667264425,2022,10,31,19,00,25,50.250000,45,47.080000,1015,0.720000,90,1667224498,1667262317
1667268020,2022,10,31,20,00,20,47.500000,53,47.500000,1014,2.420000,100,1667224498,1667262317
1667271175,2022,10,31,20,52,55,46.310000,54,44.150000,1017,4.610000,30,1667224500,1667262319,0
1667274776,2022,10,31,21,52,56,47.430000,56,44.740000,1017,5.750000,220,1667224500,1667262319,0
1667278806,2022,10,31,23,00,06,48.310000,49,47.610000,1013,3.180000,107,1667224498,1667262317,92
1667282340,2022,10,31,23,59,00,48.470000,49,47.170000,1013,3.910000,107,1667224500,1667262319,94
1667286007,2022,11,01,01,00,07,47.790000,50,45.910000,1013,4.540000,103,1667310968,1667348645,100
1667289607,2022,11,01,02,00,07,48.420000,51,46.580000,1013,4.650000,104,1667310968,1667348645,100
1667293207,2022,11,01,03,00,07,46.760000,56,44.620000,1012,4.700000,107,1667310968,1667348645,100
1667296805,2022,11,01,04,00,05,47.080000,56,44.740000,1012,5.080000,104,1667310968,1667348645,100
1667300438,2022,11,01,05,00,38,46.940000,55,44.440000,1012,5.280000,111,1667310968,1667348645,100
1667303865,2022,11,01,05,57,45,47.140000,53,44.130000,1012,6.240000,107,1667310968,1667348646,96
1667307608,2022,11,01,07,00,08,46.760000,48,43.590000,1012,6.400000,103,1667310968,1667348645,93
1667311211,2022,11,01,08,00,11,46.420000,50,43.140000,1011,6.460000,106,1667310968,1667348645,96
1667314549,2022,11,01,08,55,49,47.610000,49,44.820000,1012,5.990000,116,1667310969,1667348647,97
1667318423,2022,11,01,10,00,23,49.890000,50,47.880000,1012,5.370000,122,1667310968,1667348645,98
1667322015,2022,11,01,11,00,15,53.420000,37,50.200000,1012,1.010000,300,1667310968,1667348645,99
1667325613,2022,11,01,12,00,13,56.250000,40,53.460000,1012,4.920000,156,1667310968,1667348645,99
1667329208,2022,11,01,13,00,08,58.680000,35,55.890000,1011,5.370000,141,1667310968,1667348645,99
1667332806,2022,11,01,14,00,06,60.420000,32,57.670000,1010,1.010000,298,1667310968,1667348645,100
1667336406,2022,11,01,15,00,06,60.370000,30,57.510000,1009,5.970000,215,1667310968,1667348645,100
1667340007,2022,11,01,16,00,07,60.080000,30,57.200000,1008,8.840000,224,1667310968,1667348645,99
1667343607,2022,11,01,17,00,07,61.450000,27,58.570000,1007,1.010000,146,1667310968,1667348645,98
1667346762,2022,11,01,17,52,42,60.300000,26,57.250000,1007,3.000000,126,1667310968,1667348646,98
1667350808,2022,11,01,19,00,08,57.970000,28,54.790000,1006,3.000000,130,1667310968,1667348645,94
1667354329,2022,11,01,19,58,49,56.790000,30,53.580000,1007,3.000000,128,1667310968,1667348646,97
1667358012,2022,11,01,21,00,12,55.310000,32,52.050000,1006,1.990000,135,1667310968,1667348645,98
1667361605,2022,11,01,22,00,05,55.560000,29,52.180000,1006,5.010000,124,1667310968,1667348645,97
1667365208,2022,11,01,23,00,08,54.590000,31,51.210000,1006,5.480000,159,1667310968,1667348645,94
1667368400,2022,11,01,23,53,20,53.910000,32,50.500000,1008,16.110000,130,1667310969,1667348647,0
1667372412,2022,11,02,01,00,12,53.010000,32,49.510000,1007,3.830000,152,1667397437,1667434975,30
1667376010,2022,11,02,02,00,10,53.760000,32,50.340000,1007,1.010000,283,1667397437,1667434975,24
1667379611,2022,11,02,03,00,11,51.660000,38,48.310000,1008,4.340000,136,1667397437,1667434975,38
1667383205,2022,11,02,04,00,05,52.030000,39,48.780000,1008,6.600000,165,1667397437,1667434975,53
1667386806,2022,11,02,05,00,06,52.630000,34,49.190000,1008,1.990000,123,1667397437,1667434975,62
1667389851,2022,11,02,05,50,51,52.000000,34,48.490000,1008,14.970000,160,1667397437,1667434976,100
1667394008,2022,11,02,07,00,08,45.900000,56,42.440000,1009,6.620000,285,1667397437,1667434975,100
1667397607,2022,11,02,08,00,07,41.540000,69,37.060000,1010,6.890000,271,1667397437,1667434975,100
1667401211,2022,11,02,09,00,11,40.320000,85,36.000000,1013,6.220000,230,1667397437,1667434975,100
1667404355,2022,11,02,09,52,35,39.290000,82,32.610000,1012,10.360000,330,1667397438,1667434976,100
1667408409,2022,11,02,11,00,09,37.090000,88,37.090000,1012,1.010000,297,1667397437,1667434975,100
1667412006,2022,11,02,12,00,06,35.220000,91,27.550000,1013,10.360000,360,1667397437,1667434975,100
1667415607,2022,11,02,13,00,07,34.430000,92,27.770000,1015,8.050000,330,1667397437,1667434975,100
1667419213,2022,11,02,14,00,13,34.120000,88,30.040000,1015,4.500000,282,1667397437,1667434975,100
1667422805,2022,11,02,15,00,05,33.840000,92,27.770000,1013,6.910000,0,1667397437,1667434975,100
1667426418,2022,11,02,16,00,18,33.300000,92,30.200000,1013,3.440000,0,1667397437,1667434975,100
1667429916,2022,11,02,16,58,36,33.060000,92,28.810000,1013,4.470000,290,1667397438,1667434976,100
1667433100,2022,11,02,17,51,40,33.080000,93,28.600000,1013,4.720000,296,1667397438,1667434976,100
