utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1667255094,2022,10,31,16,24,54,59.650000,26,56.530000,1020,0.000000,0,1667224015,1667262798
1667258440,2022,10,31,17,20,40,58.060000,27,54.840000,1020,4.610000,0,1667224015,1667262798
1667261350,2022,10,31,18,09,10,53.960000,32,50.560000,1021,6.910000,80,1667224015,1667262798
1667264422,2022,10,31,19,00,22,47.890000,40,47.280000,1022,3.020000,118,1667224015,1667262798
1667268019,2022,10,31,20,00,19,44.470000,44,44.470000,1022,1.010000,359,1667224015,1667262798
1667271607,2022,10,31,21,00,07,40.590000,48,40.590000,1023,1.990000,38,1667224015,1667262798,2
1667275207,2022,10,31,22,00,07,40.190000,48,40.190000,1024,1.340000,280,1667224015,1667262798,4
1667278804,2022,10,31,23,00,04,43.380000,48,43.380000,1017,1.430000,248,1667224015,1667262798,23
1667282405,2022,11,01,00,00,05,43.750000,45,43.750000,1017,2.260000,249,1667224015,1667262798,35
1667286004,2022,11,01,01,00,04,43.740000,46,43.740000,1017,2.570000,248,1667310472,1667349138,88
1667289604,2022,11,01,02,00,04,43.140000,47,43.140000,1017,1.830000,241,1667310472,1667349138,94
1667293204,2022,11,01,03,00,04,42.130000,47,42.130000,1017,2.130000,246,1667310472,1667349138,95
1667296318,2022,11,01,03,51,58,43.290000,42,43.290000,1016,2.060000,228,1667310472,1667349139,96
1667300435,2022,11,01,05,00,35,43.120000,40,43.120000,1016,2.240000,225,1667310472,1667349138,97
1667304004,2022,11,01,06,00,04,43.680000,39,43.680000,1016,2.330000,227,1667310472,1667349138,97
1667307606,2022,11,01,07,00,06,42.890000,42,41.410000,1016,3.200000,232,1667310472,1667349138,100
1667311205,2022,11,01,08,00,05,42.490000,46,40.960000,1016,3.200000,237,1667310472,1667349138,100
1667314836,2022,11,01,09,00,36,41.380000,51,41.380000,1021,0.000000,0,1667310472,1667349138,0
1667318420,2022,11,01,10,00,20,45.820000,45,45.820000,1023,1.010000,27,1667310472,1667349138,100
1667322010,2022,11,01,11,00,10,49.500000,37,44.800000,1024,11.970000,213,1667310472,1667349138,100
1667325609,2022,11,01,12,00,09,53.040000,33,49.600000,1024,5.990000,223,1667310472,1667349138,100
1667329205,2022,11,01,13,00,05,54.300000,31,50.880000,1023,3.000000,309,1667310472,1667349138,100
1667332803,2022,11,01,14,00,03,56.970000,30,53.780000,1022,5.990000,243,1667310472,1667349138,100
1667336405,2022,11,01,15,00,05,57.330000,31,54.210000,1022,5.990000,222,1667310472,1667349138,100
1667340005,2022,11,01,16,00,05,54.990000,34,51.780000,1021,5.010000,209,1667310472,1667349138,100
1667343603,2022,11,01,17,00,03,55.200000,33,51.980000,1021,3.000000,229,1667310472,1667349138,96
1667347206,2022,11,01,18,00,06,51.550000,35,48.060000,1021,3.000000,278,1667310472,1667349138,94
1667350806,2022,11,01,19,00,06,48.150000,40,48.150000,1021,1.010000,229,1667310472,1667349138,23
1667354404,2022,11,01,20,00,04,44.940000,47,39.650000,1021,10.310000,198,1667310472,1667349138,14
1667358011,2022,11,01,21,00,11,43.110000,50,41.880000,1022,3.000000,308,1667310472,1667349138,13
1667361603,2022,11,01,22,00,03,43.020000,50,43.020000,1022,1.010000,295,1667310472,1667349138,16
1667365203,2022,11,01,23,00,03,41.720000,52,41.720000,1022,1.010000,343,1667310472,1667349138,15
1667368804,2022,11,02,00,00,04,40.570000,53,40.570000,1022,1.010000,271,1667310472,1667349138,14
