utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1667254540,2022,10,31,16,15,40,57.520000,40,54.860000,1015,5.750000,70,1667224698,1667262205
1667258440,2022,10,31,17,20,40,57.960000,38,55.240000,1014,1.990000,185,1667224698,1667262205
1667261353,2022,10,31,18,09,13,53.200000,48,50.490000,1013,0.000000,0,1667224697,1667262206
1667263873,2022,10,31,18,51,13,48.330000,54,47.790000,1014,3.000000,196,1667224696,1667262204
1667268021,2022,10,31,20,00,21,45.660000,57,45.660000,1013,1.990000,109,1667224697,1667262206
1667271610,2022,10,31,21,00,10,44.870000,59,42.190000,1013,5.010000,181,1667224697,1667262206,74
1667275195,2022,10,31,21,59,55,44.850000,56,44.850000,1008,1.990000,340,1667224698,1667262205,80
1667278809,2022,10,31,23,00,09,43.250000,61,42.040000,1011,3.000000,163,1667224697,1667262206,84
1667282035,2022,10,31,23,53,55,43.320000,64,42.130000,1007,3.000000,119,1667224698,1667262205,87
1667285770,2022,11,01,00,56,10,43.750000,61,42.620000,1000,3.000000,200,1667311171,1667348529,100
1667289608,2022,11,01,02,00,08,42.980000,63,41.740000,999,3.000000,165,1667311171,1667348530,100
1667293150,2022,11,01,02,59,10,43.520000,56,41.380000,999,4.000000,96,1667311171,1667348529,100
1667296345,2022,11,01,03,52,25,43.430000,61,42.240000,998,3.000000,134,1667311171,1667348529,100
1667299870,2022,11,01,04,51,10,44.190000,56,43.110000,998,3.000000,117,1667311171,1667348529,100
1667304008,2022,11,01,06,00,08,44.690000,56,41.970000,997,5.010000,140,1667311171,1667348530,100
1667307236,2022,11,01,06,53,56,43.300000,59,40.600000,997,4.650000,106,1667311170,1667348528,100
1667310751,2022,11,01,07,52,31,42.840000,52,39.780000,1009,5.030000,109,1667311171,1667348529,100
1667314300,2022,11,01,08,51,40,46.900000,48,45.000000,1009,4.410000,129,1667311171,1667348529,100
1667318425,2022,11,01,10,00,25,50.490000,67,48.380000,1008,3.800000,162,1667311171,1667348530,100
1667321890,2022,11,01,10,58,10,57.510000,18,53.800000,1007,8.300000,205,1667311171,1667348529,90
1667325580,2022,11,01,11,59,40,59.340000,31,56.430000,1005,1.010000,83,1667311171,1667348529,88
1667329105,2022,11,01,12,58,25,62.820000,31,60.260000,1006,14.000000,186,1667311171,1667348529,38
1667332806,2022,11,01,14,00,06,63.990000,28,61.390000,1005,14.000000,191,1667311171,1667348530,23
1667336313,2022,11,01,14,58,33,63.500000,28,60.870000,1005,18.010000,218,1667311171,1667348529,35
1667340007,2022,11,01,16,00,07,63.410000,28,60.760000,1004,14.000000,178,1667311171,1667348530,47
1667343608,2022,11,01,17,00,08,61.880000,28,59.090000,1004,15.990000,208,1667311171,1667348530,57
1667346947,2022,11,01,17,55,47,59.140000,30,56.170000,1003,11.010000,166,1667311171,1667348529,61
1667350812,2022,11,01,19,00,12,58.050000,31,55.000000,1003,10.000000,164,1667311171,1667348530,10
1667353923,2022,11,01,19,52,03,58.030000,31,54.990000,1002,8.010000,164,1667311171,1667348529,8
1667358013,2022,11,01,21,00,13,57.830000,36,55.000000,1001,8.010000,172,1667311171,1667348530,8
