utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1667255099,2022,10,31,16,24,59,71.080000,35,69.530000,1016,9.220000,240,1667219948,1667258527
1667258444,2022,10,31,17,20,44,67.060000,39,65.300000,1016,5.750000,260,1667219948,1667258527
1667261357,2022,10,31,18,09,17,61.560000,48,59.670000,1016,5.750000,240,1667219948,1667258527
1667264430,2022,10,31,19,00,30,57.340000,59,55.540000,1018,5.010000,240,1667219948,1667258527
1667268025,2022,10,31,20,00,25,53.640000,66,51.800000,1018,5.010000,250,1667219948,1667258527
1667271615,2022,10,31,21,00,15,51.980000,70,50.160000,1019,5.010000,220,1667219948,1667258527,5
1667275214,2022,10,31,22,00,14,51.220000,71,49.390000,1019,3.000000,210,1667219948,1667258527,4
1667278815,2022,10,31,23,00,15,49.660000,76,49.300000,1018,3.000000,200,1667306408,1667344865,3
1667282413,2022,11,01,00,00,13,49.370000,78,48.970000,1018,3.000000,160,1667306408,1667344865,2
1667286012,2022,11,01,01,00,12,48.880000,79,46.850000,1018,5.100000,207,1667306408,1667344865,0
1667289612,2022,11,01,02,00,12,48.830000,80,48.360000,1018,3.000000,160,1667306408,1667344865,0
1667293212,2022,11,01,03,00,12,47.390000,84,45.190000,1019,4.940000,199,1667306408,1667344865,1
1667296817,2022,11,01,04,00,17,47.430000,86,45.410000,1019,4.680000,194,1667306408,1667344865,6
1667300443,2022,11,01,05,00,43,46.780000,88,44.870000,1020,4.360000,187,1667306408,1667344865,0
1667304025,2022,11,01,06,00,25,46.310000,88,44.080000,1020,4.720000,186,1667306408,1667344865,0
1667307614,2022,11,01,07,00,14,46.600000,86,44.850000,1020,4.120000,188,1667306408,1667344865,42
1667311219,2022,11,01,08,00,19,49.140000,81,49.140000,1021,1.010000,247,1667306408,1667344865,29
1667314844,2022,11,01,09,00,44,58.460000,69,57.250000,1024,5.080000,200,1667306408,1667344865,0
1667318431,2022,11,01,10,00,31,65.820000,52,64.540000,1024,3.000000,229,1667306408,1667344865,0
1667322021,2022,11,01,11,00,21,69.130000,46,67.910000,1024,5.990000,200,1667306408,1667344865,16
1667325629,2022,11,01,12,00,29,73.260000,40,72.160000,1024,8.010000,190,1667306408,1667344865,0
1667329219,2022,11,01,13,00,19,74.890000,36,73.780000,1023,8.990000,180,1667306408,1667344865,0
1667332812,2022,11,01,14,00,12,75.720000,31,74.440000,1023,10.000000,170,1667306408,1667344865,0
1667336410,2022,11,01,15,00,10,75.810000,28,74.410000,1021,8.010000,210,1667306408,1667344865,0
1667340011,2022,11,01,16,00,11,74.550000,29,73.080000,1020,5.640000,207,1667306408,1667344865,0
1667343615,2022,11,01,17,00,15,71.920000,59,71.580000,1020,5.660000,204,1667306408,1667344865,0
1667347227,2022,11,01,18,00,27,64.080000,45,62.290000,1022,6.550000,189,1667306408,1667344865,0
1667350817,2022,11,01,19,00,17,60.640000,51,58.800000,1024,6.330000,167,1667306408,1667344865,0
1667354418,2022,11,01,20,00,18,57.470000,57,55.600000,1023,3.000000,190,1667306408,1667344865,0
1667358017,2022,11,01,21,00,17,57.290000,57,55.400000,1023,4.000000,140,1667306408,1667344865,0
1667361611,2022,11,01,22,00,11,56.280000,60,54.430000,1023,5.010000,160,1667306408,1667344865,0
1667365215,2022,11,01,23,00,15,55.380000,65,53.670000,1024,4.000000,170,1667392868,1667431205,0
1667368812,2022,11,02,00,00,12,53.020000,73,51.460000,1024,5.010000,180,1667392868,1667431205,0
1667372418,2022,11,02,01,00,18,51.060000,79,49.590000,1022,5.990000,170,1667392868,1667431205,0
1667376018,2022,11,02,02,00,18,50.790000,82,49.420000,1023,3.000000,200,1667392868,1667431205,0
1667379616,2022,11,02,03,00,16,50.140000,84,48.810000,1023,4.000000,160,1667392868,1667431205,0
1667383214,2022,11,02,04,00,14,49.320000,88,48.900000,1022,3.000000,160,1667392868,1667431205,0
1667386823,2022,11,02,05,00,23,49.570000,88,48.360000,1023,4.000000,140,1667392868,1667431205,0
1667390431,2022,11,02,06,00,31,48.830000,90,47.520000,1024,4.000000,150,1667392868,1667431205,0
1667394019,2022,11,02,07,00,19,48.790000,90,47.480000,1024,4.000000,150,1667392868,1667431205,0
1667397618,2022,11,02,08,00,18,52.920000,88,52.050000,1026,5.530000,166,1667392868,1667431205,0
1667401027,2022,11,02,08,57,07,59.470000,78,58.780000,1028,1.010000,134,1667392867,1667431204,0
1667404816,2022,11,02,10,00,16,65.260000,68,64.690000,1027,3.000000,119,1667392868,1667431205,2
1667408416,2022,11,02,11,00,16,68.950000,61,68.410000,1026,5.010000,214,1667392868,1667431205,2
1667412017,2022,11,02,12,00,17,71.100000,57,70.590000,1025,13.000000,190,1667392868,1667431205,9
1667415617,2022,11,02,13,00,17,72.210000,55,71.730000,1023,18.990000,170,1667392868,1667431205,51
1667419217,2022,11,02,14,00,17,72.700000,52,72.100000,1023,15.990000,180,1667392868,1667431205,42
1667422812,2022,11,02,15,00,12,72.860000,52,72.280000,1022,15.990000,190,1667392868,1667431205,29
1667426424,2022,11,02,16,00,24,71.370000,54,70.740000,1022,15.010000,190,1667392868,1667431205,40
1667430015,2022,11,02,17,00,15,68.160000,60,67.500000,1022,18.010000,170,1667392868,1667431205,20
1667433622,2022,11,02,18,00,22,64.260000,68,63.570000,1023,7.670000,154,1667392868,1667431205,16
1667437229,2022,11,02,19,00,29,60.980000,74,60.260000,1023,7.810000,160,1667392868,1667431205,0
1667440819,2022,11,02,20,00,19,59.740000,78,59.070000,1022,5.990000,160,1667392868,1667431205,0
1667444410,2022,11,02,21,00,10,58.410000,81,57.760000,1022,5.990000,180,1667392868,1667431205,2
1667448014,2022,11,02,22,00,14,58.100000,82,57.470000,1022,5.990000,160,1667392868,1667431205,7
1667451623,2022,11,02,23,00,23,57.040000,85,56.440000,1022,5.990000,140,1667479328,1667517545,12
1667455218,2022,11,03,00,00,18,56.460000,87,55.900000,1021,4.000000,150,1667479328,1667517545,26
1667458815,2022,11,03,01,00,15,57.360000,86,56.840000,1022,4.000000,160,1667479328,1667517545,55
1667462412,2022,11,03,02,00,12,58.050000,86,57.600000,1021,8.010000,170,1667479328,1667517545,77
1667466015,2022,11,03,03,00,15,58.820000,84,58.350000,1021,10.000000,180,1667479328,1667517545,85
1667469612,2022,11,03,04,00,12,59.580000,83,59.130000,1021,11.010000,170,1667479328,1667517545,85
1667473213,2022,11,03,05,00,13,59.770000,83,59.360000,1021,11.010000,170,1667479328,1667517545,82
1667476814,2022,11,03,06,00,14,59.110000,84,58.660000,1021,8.990000,170,1667479328,1667517545,79
