utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670545154,2022,12,08,17,19,14,67.550000,94,68.430000,1022,5.750000,210,1670503261,1670540146,0
1670548752,2022,12,08,18,19,12,64.990000,98,65.800000,1021,5.750000,220,1670503261,1670540146,100
1670552353,2022,12,08,19,19,13,65.260000,98,66.090000,1022,4.610000,220,1670503261,1670540146,100
1670555952,2022,12,08,20,19,12,65.410000,98,66.250000,1022,4.610000,200,1670503261,1670540146,100
1670559555,2022,12,08,21,19,15,65.170000,99,66.040000,1022,0.000000,0,1670503261,1670540146,100
1670563152,2022,12,08,22,19,12,65.260000,98,66.090000,1022,3.440000,240,1670503261,1670540146,100
1670566761,2022,12,08,23,19,21,65.480000,98,66.330000,1021,3.440000,230,1670589704,1670626555,100
1670570356,2022,12,09,00,19,16,64.940000,98,65.730000,1021,0.000000,0,1670589704,1670626555,100
1670573953,2022,12,09,01,19,13,64.240000,98,64.980000,1021,3.440000,240,1670589704,1670626555,100
1670577553,2022,12,09,02,19,13,64.020000,99,64.780000,1021,3.440000,260,1670589704,1670626555,100
1670581161,2022,12,09,03,19,21,64.240000,99,65.010000,1020,3.440000,250,1670589704,1670626555,100
1670584752,2022,12,09,04,19,12,64.170000,100,64.980000,1021,4.610000,250,1670589704,1670626555,100
1670588354,2022,12,09,05,19,14,65.080000,98,65.890000,1021,3.440000,290,1670589704,1670626555,100
1670591952,2022,12,09,06,19,12,65.610000,97,66.430000,1021,0.000000,0,1670589704,1670626555,100
1670595575,2022,12,09,07,19,35,66.830000,97,67.770000,1022,4.610000,270,1670589704,1670626555,100
1670599161,2022,12,09,08,19,21,65.710000,100,66.690000,1022,0.000000,0,1670589704,1670626555,100
1670602754,2022,12,09,09,19,14,68.950000,94,69.960000,1023,3.440000,290,1670589704,1670626555,100
1670606361,2022,12,09,10,19,21,70.540000,86,71.330000,1022,6.910000,290,1670589704,1670626555,100
1670609953,2022,12,09,11,19,13,72.900000,77,73.510000,1021,5.750000,320,1670589704,1670626555,100
1670613562,2022,12,09,12,19,22,73.870000,71,74.300000,1020,8.050000,280,1670589704,1670626555,100
1670617157,2022,12,09,13,19,17,74.610000,72,75.150000,1020,6.910000,320,1670589704,1670626555,40
1670620753,2022,12,09,14,19,13,73.870000,77,74.570000,1019,5.750000,160,1670589704,1670626555,0
1670624353,2022,12,09,15,19,13,71.980000,81,72.680000,1020,4.610000,190,1670589704,1670626555,0
1670627952,2022,12,09,16,19,12,69.130000,87,69.840000,1020,0.000000,0,1670589704,1670626555,0
1670631554,2022,12,09,17,19,14,65.590000,95,66.310000,1020,0.000000,0,1670589704,1670626555,0
1670635152,2022,12,09,18,19,12,63.520000,97,64.130000,1020,4.540000,169,1670589704,1670626555,83
1670638753,2022,12,09,19,19,13,63.430000,99,64.130000,1021,0.000000,0,1670589704,1670626555,0
1670642354,2022,12,09,20,19,14,63.160000,97,63.730000,1021,0.000000,0,1670589704,1670626555,0
1670645955,2022,12,09,21,19,15,61.810000,96,62.200000,1020,3.440000,200,1670589704,1670626555,0
