utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670545148,2022,12,08,17,19,08,69.940000,78,70.300000,1022,0.000000,0,1670506063,1670542900,75
1670548747,2022,12,08,18,19,07,68.140000,83,68.560000,1022,0.000000,0,1670506063,1670542900,75
1670552348,2022,12,08,19,19,08,66.340000,88,66.810000,1023,0.000000,0,1670506063,1670542900,100
1670555947,2022,12,08,20,19,07,64.540000,94,65.120000,1023,0.000000,0,1670506063,1670542900,100
1670559549,2022,12,08,21,19,09,62.740000,100,63.410000,1023,0.000000,0,1670506063,1670542900,0
1670563147,2022,12,08,22,19,07,59.140000,100,59.450000,1023,0.000000,0,1670506063,1670542900,0
1670566752,2022,12,08,23,19,12,57.340000,100,57.470000,1023,0.000000,0,1670592506,1670629309,0
1670570349,2022,12,09,00,19,09,55.540000,100,55.490000,1022,0.000000,0,1670592506,1670629309,40
1670573947,2022,12,09,01,19,07,55.540000,100,55.490000,1022,0.000000,0,1670592506,1670629309,82
1670577547,2022,12,09,02,19,07,53.740000,100,53.510000,1022,0.000000,0,1670592506,1670629309,100
1670581152,2022,12,09,03,19,12,53.740000,100,53.510000,1021,0.000000,0,1670592506,1670629309,100
1670584747,2022,12,09,04,19,07,55.540000,100,55.490000,1021,0.000000,0,1670592506,1670629309,100
1670588348,2022,12,09,05,19,08,55.540000,100,55.490000,1021,0.000000,0,1670592506,1670629309,100
1670591947,2022,12,09,06,19,07,57.340000,100,57.470000,1021,0.000000,0,1670592506,1670629309,100
1670595560,2022,12,09,07,19,20,60.940000,100,61.430000,1022,0.000000,0,1670592506,1670629309,100
1670599152,2022,12,09,08,19,12,62.740000,100,63.410000,1022,0.000000,0,1670592506,1670629309,100
1670602748,2022,12,09,09,19,08,64.540000,100,65.390000,1023,6.910000,0,1670592506,1670629309,100
1670606352,2022,12,09,10,19,12,68.140000,77,68.270000,1023,9.220000,150,1670592506,1670629309,75
1670609947,2022,12,09,11,19,07,71.740000,68,71.820000,1021,12.660000,180,1670592506,1670629309,75
1670613553,2022,12,09,12,19,13,71.740000,68,71.820000,1020,10.360000,160,1670592506,1670629309,75
1670617149,2022,12,09,13,19,09,73.540000,60,73.420000,1019,14.970000,170,1670592506,1670629309,75
1670620747,2022,12,09,14,19,07,73.540000,60,73.420000,1018,11.500000,170,1670592506,1670629309,75
1670624347,2022,12,09,15,19,07,71.740000,64,71.620000,1018,11.500000,160,1670592506,1670629309,75
1670627947,2022,12,09,16,19,07,69.940000,68,69.840000,1018,10.360000,160,1670592506,1670629309,40
1670631548,2022,12,09,17,19,08,68.140000,73,68.090000,1019,0.000000,0,1670592506,1670629309,40
1670635147,2022,12,09,18,19,07,66.340000,77,66.290000,1019,0.000000,0,1670592506,1670629309,75
1670638747,2022,12,09,19,19,07,66.340000,82,66.520000,1019,6.910000,160,1670592506,1670629309,75
1670642348,2022,12,09,20,19,08,64.540000,88,64.830000,1019,0.000000,0,1670592506,1670629309,75
1670645949,2022,12,09,21,19,09,64.540000,88,64.830000,1019,0.000000,0,1670592506,1670629309,75
1670649548,2022,12,09,22,19,08,62.740000,94,63.140000,1019,0.000000,0,1670592506,1670629309,75
1670653151,2022,12,09,23,19,11,62.740000,94,63.140000,1019,0.000000,0,1670678948,1670715720,40
1670656748,2022,12,10,00,19,08,62.740000,100,63.410000,1019,0.000000,0,1670678948,1670715720,75
1670660351,2022,12,10,01,19,11,64.540000,94,65.120000,1018,0.000000,0,1670678948,1670715720,100
1670663950,2022,12,10,02,19,10,64.540000,100,65.390000,1018,0.000000,0,1670678948,1670715720,75
1670667550,2022,12,10,03,19,10,64.540000,100,65.390000,1018,4.610000,170,1670678948,1670715720,75
1670671148,2022,12,10,04,19,08,66.340000,94,67.100000,1018,0.000000,0,1670678948,1670715720,75
1670674751,2022,12,10,05,19,11,66.340000,94,67.100000,1018,0.000000,0,1670678948,1670715720,75
1670678349,2022,12,10,06,19,09,66.340000,94,67.100000,1019,0.000000,0,1670678948,1670715720,100
1670681947,2022,12,10,07,19,07,64.540000,100,65.390000,1019,0.000000,0,1670678948,1670715720,100
1670685553,2022,12,10,08,19,13,64.540000,100,65.390000,1020,0.000000,0,1670678948,1670715720,100
1670689147,2022,12,10,09,19,07,66.340000,100,67.370000,1020,3.440000,150,1670678948,1670715720,100
1670692747,2022,12,10,10,19,07,66.340000,100,67.370000,1021,6.910000,160,1670678948,1670715720,100
1670696347,2022,12,10,11,19,07,66.340000,94,67.100000,1020,6.910000,160,1670678948,1670715720,100
1670699948,2022,12,10,12,19,08,68.140000,83,68.560000,1019,5.750000,180,1670678948,1670715720,40
1670703548,2022,12,10,13,19,08,68.140000,83,68.560000,1019,0.000000,0,1670678948,1670715720,75
1670707148,2022,12,10,14,19,08,69.940000,78,70.300000,1018,0.000000,0,1670678948,1670715720,100
1670710747,2022,12,10,15,19,07,68.140000,83,68.560000,1018,0.000000,0,1670678948,1670715720,40
1670714347,2022,12,10,16,19,07,68.140000,77,68.270000,1019,0.000000,0,1670678948,1670715720,40
1670717950,2022,12,10,17,19,10,68.140000,83,68.560000,1019,0.000000,0,1670678948,1670715720,75
1670721548,2022,12,10,18,19,08,62.740000,94,63.140000,1019,0.000000,0,1670678948,1670715720,0
1670725151,2022,12,10,19,19,11,62.740000,100,63.410000,1020,0.000000,0,1670678948,1670715720,40
1670728747,2022,12,10,20,19,07,60.940000,100,61.430000,1020,0.000000,0,1670678948,1670715720,0
1670732347,2022,12,10,21,19,07,60.940000,100,61.430000,1021,0.000000,0,1670678948,1670715720,20
1670735948,2022,12,10,22,19,08,60.940000,100,61.430000,1021,4.610000,40,1670678948,1670715720,100
1670739547,2022,12,10,23,19,07,60.940000,94,61.160000,1022,0.000000,0,1670765389,1670802133,75
1670743149,2022,12,11,00,19,09,57.340000,100,57.470000,1021,0.000000,0,1670765389,1670802133,100
1670746747,2022,12,11,01,19,07,57.340000,100,57.470000,1021,0.000000,0,1670765389,1670802133,100
1670749865,2022,12,11,02,11,05,57.290000,100,57.420000,1021,6.910000,10,1670765391,1670802133,26
1670753949,2022,12,11,03,19,09,57.340000,100,57.470000,1021,0.000000,0,1670765389,1670802133,100
1670757547,2022,12,11,04,19,07,57.340000,100,57.470000,1021,0.000000,0,1670765389,1670802133,100
1670761148,2022,12,11,05,19,08,57.340000,100,57.470000,1021,0.000000,0,1670765389,1670802133,100
1670764748,2022,12,11,06,19,08,57.340000,100,57.470000,1022,0.000000,0,1670765389,1670802133,100
1670768351,2022,12,11,07,19,11,57.340000,100,57.470000,1022,0.000000,0,1670765389,1670802133,100
1670771948,2022,12,11,08,19,08,59.140000,94,59.180000,1023,0.000000,0,1670765389,1670802133,100
1670775548,2022,12,11,09,19,08,60.940000,88,60.870000,1023,0.000000,0,1670765389,1670802133,100
1670778714,2022,12,11,10,11,54,64.490000,77,64.260000,1023,5.750000,80,1670765391,1670802133,100
1670782749,2022,12,11,11,19,09,64.540000,77,64.310000,1022,0.000000,0,1670765389,1670802133,100
1670786349,2022,12,11,12,19,09,66.340000,72,66.060000,1021,0.000000,0,1670765389,1670802133,100
1670789948,2022,12,11,13,19,08,68.140000,68,67.860000,1020,5.750000,150,1670765389,1670802133,100
1670793548,2022,12,11,14,19,08,69.940000,64,69.640000,1019,0.000000,0,1670765389,1670802133,75
1670797147,2022,12,11,15,19,07,69.940000,64,69.640000,1018,0.000000,0,1670765389,1670802133,40
1670800748,2022,12,11,16,19,08,69.940000,64,69.640000,1018,3.440000,140,1670765389,1670802133,0
1670804349,2022,12,11,17,19,09,66.340000,72,66.060000,1018,0.000000,0,1670765389,1670802133,40
1670807947,2022,12,11,18,19,07,66.340000,72,66.060000,1018,0.000000,0,1670765389,1670802133,100
1670811548,2022,12,11,19,19,08,64.540000,82,64.540000,1019,0.000000,0,1670765389,1670802133,100
1670815148,2022,12,11,20,19,08,64.540000,82,64.540000,1019,0.000000,0,1670765389,1670802133,100
1670818748,2022,12,11,21,19,08,60.940000,88,60.870000,1019,0.000000,0,1670765389,1670802133,100
1670822348,2022,12,11,22,19,08,60.940000,88,60.870000,1019,0.000000,0,1670765389,1670802133,100
1670825948,2022,12,11,23,19,08,59.140000,94,59.180000,1018,0.000000,0,1670851830,1670888547,75
1670829548,2022,12,12,00,19,08,59.140000,94,59.180000,1018,5.750000,120,1670851830,1670888547,75
1670833148,2022,12,12,01,19,08,59.140000,94,59.180000,1017,4.610000,140,1670851830,1670888547,100
1670836748,2022,12,12,02,19,08,59.140000,94,59.180000,1016,6.910000,130,1670851830,1670888547,100
1670840348,2022,12,12,03,19,08,60.940000,88,60.870000,1016,6.910000,140,1670851830,1670888547,100
1670843949,2022,12,12,04,19,09,60.940000,94,61.160000,1016,10.360000,160,1670851830,1670888547,100
1670847548,2022,12,12,05,19,08,62.740000,88,62.850000,1015,9.220000,160,1670851830,1670888547,100
1670851148,2022,12,12,06,19,08,62.740000,88,62.850000,1015,11.500000,170,1670851830,1670888547,100
1670853968,2022,12,12,07,06,08,62.740000,94,63.140000,1015,13.800000,160,1670851830,1670888547,100
1670857573,2022,12,12,08,06,13,62.740000,94,63.140000,1015,11.500000,160,1670851830,1670888547,100
1670861168,2022,12,12,09,06,08,64.540000,88,64.830000,1015,17.270000,180,1670851830,1670888547,100
1670864768,2022,12,12,10,06,08,64.540000,88,64.830000,1014,14.970000,180,1670851830,1670888547,100
1670868369,2022,12,12,11,06,09,66.340000,82,66.520000,1013,17.270000,170,1670851830,1670888547,75
1670871968,2022,12,12,12,06,08,68.140000,73,68.090000,1012,16.110000,170,1670851830,1670888547,75
1670875573,2022,12,12,13,06,13,68.140000,73,68.090000,1011,17.270000,170,1670851830,1670888547,100
1670879174,2022,12,12,14,06,14,68.140000,73,68.090000,1009,17.270000,170,1670851830,1670888547,75
1670882771,2022,12,12,15,06,11,68.140000,73,68.090000,1009,17.270000,170,1670851830,1670888547,100
1670886368,2022,12,12,16,06,08,68.140000,73,68.090000,1008,13.800000,170,1670851830,1670888547,100
1670889969,2022,12,12,17,06,09,66.340000,77,66.290000,1009,11.500000,180,1670851830,1670888547,75
1670893567,2022,12,12,18,06,07,66.340000,82,66.520000,1009,10.360000,170,1670851830,1670888547,75
1670897168,2022,12,12,19,06,08,66.340000,82,66.520000,1009,0.000000,0,1670851830,1670888547,100
1670900768,2022,12,12,20,06,08,66.340000,82,66.520000,1008,19.570000,170,1670851830,1670888547,100
1670904368,2022,12,12,21,06,08,68.140000,77,68.270000,1005,16.110000,170,1670851830,1670888547,100
1670907968,2022,12,12,22,06,08,68.140000,83,68.560000,1007,16.110000,170,1670851830,1670888547,100
1670911571,2022,12,12,23,06,11,68.140000,83,68.560000,1007,21.850000,170,1670938269,1670974962,100
1670915168,2022,12,13,00,06,08,68.140000,83,68.560000,1007,17.270000,170,1670938269,1670974962,75
1670918769,2022,12,13,01,06,09,68.140000,83,68.560000,1006,17.270000,170,1670938269,1670974962,75
1670922368,2022,12,13,02,06,08,68.140000,83,68.560000,1006,14.970000,180,1670938269,1670974962,100
1670925967,2022,12,13,03,06,07,66.340000,82,66.520000,1008,9.220000,240,1670938269,1670974962,75
1670929568,2022,12,13,04,06,08,64.540000,88,64.830000,1008,0.000000,0,1670938269,1670974962,75
1670933189,2022,12,13,05,06,29,60.940000,39,58.570000,1008,9.220000,320,1670938269,1670974962,100
1670936767,2022,12,13,06,06,07,57.340000,44,54.840000,1009,6.910000,310,1670938269,1670974962,100
1670940380,2022,12,13,07,06,20,53.740000,50,51.170000,1010,0.000000,0,1670938269,1670974962,75
1670943968,2022,12,13,08,06,08,53.740000,50,51.170000,1011,5.750000,340,1670938269,1670974962,0
