utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670545156,2022,12,08,17,19,16,66.240000,82,66.420000,1022,0.000000,0,1670501689,1670538630,0
1670548754,2022,12,08,18,19,14,62.870000,94,63.280000,1022,0.000000,0,1670501689,1670538630,0
1670552355,2022,12,08,19,19,15,62.600000,94,62.980000,1022,0.000000,0,1670501689,1670538630,0
1670555954,2022,12,08,20,19,14,60.800000,100,61.290000,1022,0.000000,0,1670501689,1670538630,0
1670559558,2022,12,08,21,19,18,60.800000,94,61.000000,1022,3.440000,240,1670501689,1670538630,0
1670563154,2022,12,08,22,19,14,60.780000,94,60.980000,1021,3.440000,260,1670588132,1670625039,0
1670566764,2022,12,08,23,19,24,59.000000,100,59.310000,1021,0.000000,0,1670588132,1670625039,0
1670570359,2022,12,09,00,19,19,58.980000,100,59.290000,1021,0.000000,0,1670588132,1670625039,0
1670573955,2022,12,09,01,19,15,58.680000,100,58.950000,1020,3.440000,240,1670588132,1670625039,100
1670577555,2022,12,09,02,19,15,57.240000,100,57.360000,1020,0.000000,0,1670588132,1670625039,100
1670581163,2022,12,09,03,19,23,58.680000,100,58.950000,1020,0.000000,0,1670588132,1670625039,100
1670584754,2022,12,09,04,19,14,58.980000,100,59.290000,1020,0.000000,0,1670588132,1670625039,40
1670588356,2022,12,09,05,19,16,55.380000,100,55.330000,1021,0.000000,0,1670588132,1670625039,100
1670591954,2022,12,09,06,19,14,58.980000,100,59.290000,1021,0.000000,0,1670588132,1670625039,0
1670595577,2022,12,09,07,19,37,62.460000,100,63.100000,1021,0.000000,0,1670588132,1670625039,0
1670599164,2022,12,09,08,19,24,66.580000,88,67.060000,1022,0.000000,0,1670588132,1670625039,0
1670602756,2022,12,09,09,19,16,70.410000,73,70.590000,1021,4.610000,10,1670588132,1670625039,0
1670605882,2022,12,09,10,11,22,73.850000,64,73.940000,1021,6.910000,320,1670588132,1670625038,40
1670609955,2022,12,09,11,19,15,74.530000,64,74.700000,1020,0.000000,0,1670588132,1670625039,0
1670613565,2022,12,09,12,19,25,77.470000,53,77.410000,1019,0.000000,0,1670588132,1670625039,0
1670617161,2022,12,09,13,19,21,77.380000,47,77.020000,1019,0.000000,0,1670588132,1670625039,0
1670620755,2022,12,09,14,19,15,77.090000,50,76.860000,1019,4.610000,310,1670588132,1670625039,40
1670624355,2022,12,09,15,19,15,73.290000,60,73.150000,1019,3.440000,340,1670588132,1670625039,0
1670627954,2022,12,09,16,19,14,67.860000,73,67.770000,1019,0.000000,0,1670588132,1670625039,0
1670631556,2022,12,09,17,19,16,62.710000,88,62.820000,1019,0.000000,0,1670588132,1670625039,0
1670635154,2022,12,09,18,19,14,60.780000,94,60.980000,1020,0.000000,0,1670588132,1670625039,0
1670638754,2022,12,09,19,19,14,58.980000,100,59.290000,1020,0.000000,0,1670588132,1670625039,0
1670642356,2022,12,09,20,19,16,58.980000,100,59.290000,1020,0.000000,0,1670588132,1670625039,0
1670645958,2022,12,09,21,19,18,55.380000,100,55.330000,1020,0.000000,0,1670588132,1670625039,0
1670649555,2022,12,09,22,19,15,55.380000,100,55.330000,1020,0.000000,0,1670674574,1670711450,0
1670653160,2022,12,09,23,19,20,53.710000,100,53.470000,1020,0.000000,0,1670674574,1670711450,0
1670656755,2022,12,10,00,19,15,53.710000,100,53.470000,1020,0.000000,0,1670674574,1670711450,75
1670660361,2022,12,10,01,19,21,53.730000,100,53.490000,1020,0.000000,0,1670674574,1670711450,0
1670663959,2022,12,10,02,19,19,53.710000,100,53.470000,1020,0.000000,0,1670674574,1670711450,40
1670667561,2022,12,10,03,19,21,53.710000,100,53.470000,1020,0.000000,0,1670674574,1670711450,100
1670671156,2022,12,10,04,19,16,51.910000,100,51.490000,1020,0.000000,0,1670674574,1670711450,100
1670674761,2022,12,10,05,19,21,53.690000,100,53.460000,1020,0.000000,0,1670674574,1670711450,100
1670678357,2022,12,10,06,19,17,53.690000,100,53.460000,1021,0.000000,0,1670674574,1670711450,100
1670681955,2022,12,10,07,19,15,59.020000,100,59.320000,1021,0.000000,0,1670674574,1670711450,40
1670685563,2022,12,10,08,19,23,63.090000,100,63.790000,1021,3.440000,20,1670674574,1670711450,0
1670689155,2022,12,10,09,19,15,68.520000,83,68.970000,1021,6.910000,30,1670674574,1670711450,0
1670692382,2022,12,10,10,13,02,69.060000,83,69.570000,1021,3.440000,40,1670674574,1670711449,75
1670696354,2022,12,10,11,19,14,67.950000,88,68.580000,1020,4.610000,50,1670674574,1670711450,100
1670699955,2022,12,10,12,19,15,66.970000,94,67.780000,1020,4.610000,30,1670674574,1670711450,100
1670703204,2022,12,10,13,13,24,66.650000,88,67.150000,1020,4.610000,20,1670674574,1670711449,100
1670707155,2022,12,10,14,19,15,67.280000,82,67.570000,1020,0.000000,0,1670674574,1670711450,100
1670710755,2022,12,10,15,19,15,66.560000,88,67.050000,1020,4.610000,40,1670674574,1670711450,100
1670714355,2022,12,10,16,19,15,64.620000,88,64.920000,1021,0.000000,0,1670674574,1670711450,100
1670717959,2022,12,10,17,19,19,64.400000,88,64.670000,1021,4.610000,40,1670674574,1670711450,100
1670721555,2022,12,10,18,19,15,62.960000,94,63.370000,1021,4.610000,40,1670674574,1670711450,100
1670725161,2022,12,10,19,19,21,62.940000,94,63.360000,1021,3.440000,70,1670674574,1670711450,100
1670728755,2022,12,10,20,19,15,61.470000,94,61.740000,1022,0.000000,0,1670674574,1670711450,100
1670732354,2022,12,10,21,19,14,61.320000,94,61.570000,1022,3.440000,100,1670674574,1670711450,100
1670735956,2022,12,10,22,19,16,61.140000,94,61.380000,1021,4.610000,40,1670761015,1670797863,100
1670739555,2022,12,10,23,19,15,61.140000,94,61.380000,1021,0.000000,0,1670761015,1670797863,100
1670742688,2022,12,11,00,11,28,59.630000,100,59.990000,1021,0.000000,0,1670761015,1670797861,100
1670746755,2022,12,11,01,19,15,59.540000,94,59.610000,1021,0.000000,0,1670761015,1670797863,100
1670750356,2022,12,11,02,19,16,59.520000,94,59.590000,1021,0.000000,0,1670761015,1670797863,100
1670753959,2022,12,11,03,19,19,58.080000,100,58.300000,1020,4.610000,20,1670761015,1670797863,100
1670757555,2022,12,11,04,19,15,57.990000,100,58.190000,1021,3.440000,360,1670761015,1670797863,100
1670761156,2022,12,11,05,19,16,57.870000,94,57.780000,1021,3.440000,10,1670761015,1670797863,100
1670764756,2022,12,11,06,19,16,56.550000,100,56.610000,1022,4.090000,34,1670761015,1670797863,100
1670768360,2022,12,11,07,19,20,57.870000,100,58.050000,1022,0.000000,0,1670761015,1670797863,100
1670771956,2022,12,11,08,19,16,58.080000,100,58.300000,1022,0.000000,0,1670761015,1670797863,100
1670775122,2022,12,11,09,12,02,59.630000,94,59.720000,1022,0.000000,0,1670761015,1670797861,100
1670779155,2022,12,11,10,19,15,60.840000,88,60.760000,1021,0.000000,0,1670761015,1670797863,100
1670782757,2022,12,11,11,19,17,64.470000,63,63.570000,1019,1.120000,334,1670761015,1670797863,100
1670786357,2022,12,11,12,19,17,63.270000,82,63.140000,1019,0.000000,0,1670761015,1670797863,100
1670789955,2022,12,11,13,19,15,63.280000,82,63.160000,1019,4.610000,10,1670761015,1670797863,100
1670793556,2022,12,11,14,19,16,63.550000,82,63.460000,1019,3.440000,40,1670761015,1670797863,100
1670797155,2022,12,11,15,19,15,61.750000,88,61.770000,1019,4.610000,20,1670761015,1670797863,100
1670800755,2022,12,11,16,19,15,61.050000,88,61.000000,1019,3.440000,60,1670761015,1670797863,100
1670804357,2022,12,11,17,19,17,59.090000,88,58.840000,1019,0.000000,0,1670761015,1670797863,75
1670807955,2022,12,11,18,19,15,55.630000,100,55.600000,1020,0.000000,0,1670761015,1670797863,75
1670811556,2022,12,11,19,19,16,57.510000,94,57.380000,1020,0.000000,0,1670761015,1670797863,40
1670815155,2022,12,11,20,19,15,54.810000,100,54.680000,1019,0.000000,0,1670761015,1670797863,0
1670818755,2022,12,11,21,19,15,53.100000,100,52.810000,1019,0.000000,0,1670761015,1670797863,0
1670822356,2022,12,11,22,19,16,54.250000,100,54.070000,1019,0.000000,0,1670847455,1670884277,100
1670825955,2022,12,11,23,19,15,52.480000,100,52.120000,1018,0.000000,0,1670847455,1670884277,100
1670829556,2022,12,12,00,19,16,52.430000,100,52.070000,1019,3.440000,260,1670847455,1670884277,100
1670833156,2022,12,12,01,19,16,52.140000,100,51.760000,1018,0.000000,0,1670847455,1670884277,100
1670836755,2022,12,12,02,19,15,52.110000,100,51.710000,1018,0.000000,0,1670847455,1670884277,100
1670840358,2022,12,12,03,19,18,52.470000,100,52.110000,1018,0.000000,0,1670847455,1670884277,100
1670843956,2022,12,12,04,19,16,52.470000,100,52.110000,1018,0.000000,0,1670847455,1670884277,100
1670847555,2022,12,12,05,19,15,51.370000,100,50.900000,1018,0.000000,0,1670847455,1670884277,100
1670851155,2022,12,12,06,19,15,52.700000,100,52.380000,1019,0.000000,0,1670847455,1670884277,100
1670853834,2022,12,12,07,03,54,54.450000,100,54.280000,1019,3.440000,50,1670847455,1670884275,100
1670857020,2022,12,12,07,57,00,55.740000,100,55.720000,1020,3.440000,30,1670847455,1670884275,100
1670861175,2022,12,12,09,06,15,61.300000,82,60.980000,1020,3.440000,60,1670847455,1670884277,40
1670864777,2022,12,12,10,06,17,65.010000,72,64.600000,1019,4.230000,39,1670847455,1670884277,0
1670868376,2022,12,12,11,06,16,69.150000,55,68.360000,1018,3.440000,44,1670847455,1670884277,42
1670871976,2022,12,12,12,06,16,65.910000,72,65.590000,1017,3.440000,30,1670847455,1670884277,75
1670875585,2022,12,12,13,06,25,67.530000,68,67.190000,1017,0.000000,0,1670847455,1670884277,0
1670879184,2022,12,12,14,06,24,67.260000,68,66.880000,1017,5.750000,30,1670847455,1670884277,75
1670882780,2022,12,12,15,06,20,65.800000,77,65.700000,1018,0.000000,0,1670847455,1670884277,75
1670886375,2022,12,12,16,06,15,65.140000,77,64.980000,1018,0.000000,0,1670847455,1670884277,100
1670889979,2022,12,12,17,06,19,63.230000,82,63.100000,1018,3.440000,60,1670847455,1670884277,100
1670893574,2022,12,12,18,06,14,61.300000,82,60.980000,1019,0.000000,0,1670847455,1670884277,100
1670897176,2022,12,12,19,06,16,60.710000,82,60.330000,1019,3.440000,60,1670847455,1670884277,100
1670900776,2022,12,12,20,06,16,58.960000,88,58.690000,1019,4.610000,60,1670847455,1670884277,100
1670904375,2022,12,12,21,06,15,57.340000,88,56.910000,1019,4.610000,80,1670847455,1670884277,0
1670907976,2022,12,12,22,06,16,56.030000,94,55.760000,1019,0.000000,0,1670933894,1670970692,0
1670911582,2022,12,12,23,06,22,53.800000,94,53.290000,1019,0.000000,0,1670933894,1670970692,0
1670915176,2022,12,13,00,06,16,52.050000,100,51.660000,1019,3.440000,40,1670933894,1670970692,0
1670918776,2022,12,13,01,06,16,52.650000,93,51.980000,1019,3.440000,30,1670933894,1670970692,0
