utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670545143,2022,12,08,17,19,03,62.310000,30,59.650000,1021,1.010000,128,1670510325,1670546240,0
1670548742,2022,12,08,18,19,02,56.080000,42,53.370000,1021,1.990000,98,1670510325,1670546240,0
1670552343,2022,12,08,19,19,03,53.240000,46,50.430000,1021,1.010000,57,1670510325,1670546240,0
1670555942,2022,12,08,20,19,02,52.120000,45,49.150000,1022,8.050000,340,1670510325,1670546240,0
1670559543,2022,12,08,21,19,03,50.810000,47,47.800000,1022,8.050000,350,1670510325,1670546240,0
1670563142,2022,12,08,22,19,02,50.580000,48,47.590000,1022,6.910000,330,1670510325,1670546240,0
1670566744,2022,12,08,23,19,04,49.710000,48,46.890000,1022,6.910000,330,1670510325,1670546240,0
1670570344,2022,12,09,00,19,04,49.840000,49,47.030000,1023,6.910000,320,1670510325,1670546240,0
1670573943,2022,12,09,01,19,03,49.480000,50,47.170000,1022,5.750000,320,1670596771,1670632647,0
1670577543,2022,12,09,02,19,03,48.040000,52,44.870000,1021,6.910000,330,1670596771,1670632647,0
1670581145,2022,12,09,03,19,05,47.860000,53,46.850000,1021,3.440000,330,1670596771,1670632647,0
1670584742,2022,12,09,04,19,02,47.390000,51,45.410000,1021,4.610000,310,1670596771,1670632647,0
1670588342,2022,12,09,05,19,02,47.550000,49,43.750000,1021,8.050000,330,1670596771,1670632647,0
1670591943,2022,12,09,06,19,03,47.070000,55,45.030000,1020,4.610000,240,1670596771,1670632647,0
1670595543,2022,12,09,07,19,03,46.490000,49,44.370000,1021,4.610000,360,1670596771,1670632647,0
1670599143,2022,12,09,08,19,03,47.790000,51,47.790000,1020,1.010000,254,1670596771,1670632647,0
1670602743,2022,12,09,09,19,03,52.970000,47,50.180000,1020,3.440000,350,1670596771,1670632647,0
1670606343,2022,12,09,10,19,03,58.030000,38,55.310000,1020,5.010000,239,1670596771,1670632647,0
1670609909,2022,12,09,11,18,29,62.380000,32,59.830000,1020,4.610000,180,1670596771,1670632647,0
1670613545,2022,12,09,12,19,05,65.030000,29,62.600000,1019,3.440000,140,1670596771,1670632647,0
1670617143,2022,12,09,13,19,03,65.820000,27,63.370000,1019,3.000000,0,1670596771,1670632647,0
1670620742,2022,12,09,14,19,02,67.080000,24,64.620000,1018,4.610000,210,1670596771,1670632647,0
1670624119,2022,12,09,15,15,19,67.550000,23,65.080000,1018,4.610000,300,1670596771,1670632647,0
1670627942,2022,12,09,16,19,02,66.790000,23,64.260000,1017,1.990000,0,1670596771,1670632647,0
1670631543,2022,12,09,17,19,03,63.750000,25,61.000000,1017,4.610000,150,1670596771,1670632647,0
1670634821,2022,12,09,18,13,41,57.940000,35,55.080000,1017,3.440000,190,1670596771,1670632647,0
1670638742,2022,12,09,19,19,02,55.510000,35,52.410000,1017,4.610000,270,1670596771,1670632647,0
1670642343,2022,12,09,20,19,03,54.860000,33,51.600000,1018,1.010000,229,1670596771,1670632647,0
1670645943,2022,12,09,21,19,03,53.110000,35,49.770000,1018,3.440000,320,1670596771,1670632647,0
1670649543,2022,12,09,22,19,03,51.690000,41,48.490000,1019,3.440000,340,1670596771,1670632647,0
1670653144,2022,12,09,23,19,04,50.290000,44,47.080000,1020,6.910000,340,1670596771,1670632647,0
