utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670544905,2022,12,08,17,15,05,15.550000,87,9.160000,1031,3.940000,242,1670510017,1670543370,4
1670548503,2022,12,08,18,15,03,13.550000,91,5.790000,1033,4.700000,198,1670510017,1670543370,6
1670552105,2022,12,08,19,15,05,12.520000,92,5.140000,1034,4.290000,221,1670510017,1670543370,6
1670555704,2022,12,08,20,15,04,11.280000,94,11.280000,1034,2.590000,236,1670510017,1670543370,6
1670559306,2022,12,08,21,15,06,10.060000,95,10.060000,1034,1.990000,213,1670510017,1670543370,6
1670562905,2022,12,08,22,15,05,9.230000,96,9.230000,1034,0.980000,234,1670510017,1670543370,9
1670566511,2022,12,08,23,15,11,8.330000,97,8.330000,1034,2.060000,325,1670510017,1670543370,16
1670570114,2022,12,09,00,15,14,7.430000,96,7.430000,1034,2.170000,331,1670596469,1670629769,92
1670573704,2022,12,09,01,15,04,7.410000,97,7.410000,1034,2.480000,346,1670596469,1670629769,96
1670577304,2022,12,09,02,15,04,8.850000,96,8.850000,1033,2.660000,13,1670596469,1670629769,97
1670580907,2022,12,09,03,15,07,8.920000,96,8.920000,1031,2.640000,13,1670596469,1670629769,98
1670584505,2022,12,09,04,15,05,7.920000,95,7.920000,1030,2.980000,2,1670596469,1670629769,98
1670588108,2022,12,09,05,15,08,6.930000,96,0.340000,1030,3.310000,333,1670596469,1670629769,99
1670591705,2022,12,09,06,15,05,9.000000,96,9.000000,1030,2.300000,331,1670596469,1670629769,100
1670595304,2022,12,09,07,15,04,6.930000,96,6.930000,1030,2.480000,300,1670596469,1670629769,100
1670598906,2022,12,09,08,15,06,6.930000,93,6.930000,1029,1.880000,259,1670596469,1670629769,100
1670602507,2022,12,09,09,15,07,12.090000,87,12.090000,1028,2.260000,232,1670596469,1670629769,100
1670606104,2022,12,09,10,15,04,14.700000,78,14.700000,1026,2.370000,202,1670596469,1670629769,100
1670609709,2022,12,09,11,15,09,17.920000,69,12.070000,1024,3.830000,168,1670596469,1670629769,100
1670613304,2022,12,09,12,15,04,19.920000,64,12.270000,1021,5.570000,218,1670596469,1670629769,69
1670616905,2022,12,09,13,15,05,30.920000,58,20.030000,1017,15.500000,249,1670596469,1670629769,32
1670620507,2022,12,09,14,15,07,31.930000,72,19.330000,1017,24.940000,258,1670596469,1670629769,28
1670624103,2022,12,09,15,15,03,31.930000,76,19.440000,1018,21.680000,259,1670596469,1670629769,36
1670627705,2022,12,09,16,15,05,25.950000,75,13.350000,1020,17.340000,270,1670596469,1670629769,43
1670631304,2022,12,09,17,15,04,21.240000,75,8.640000,1023,14.340000,261,1670596469,1670629769,21
1670634905,2022,12,09,18,15,05,18.140000,84,6.240000,1026,10.490000,263,1670596469,1670629769,6
1670638505,2022,12,09,19,15,05,14.680000,85,5.110000,1028,6.490000,256,1670596469,1670629769,4
1670642105,2022,12,09,20,15,05,12.610000,87,5.850000,1030,3.890000,253,1670596469,1670629769,9
