utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670544904,2022,12,08,17,15,04,32.130000,79,24.960000,1024,8.050000,190,1670510362,1670544003,0
1670547988,2022,12,08,18,06,28,30.180000,82,25.320000,1024,4.610000,260,1670510363,1670544003,20
1670551763,2022,12,08,19,09,23,28.900000,84,25.830000,1024,3.000000,86,1670510365,1670544003,75
1670555193,2022,12,08,20,06,33,27.860000,86,19.040000,1023,9.220000,170,1670510364,1670544003,75
1670559086,2022,12,08,21,11,26,27.390000,86,20.970000,1022,5.750000,130,1670510363,1670544003,40
1670562438,2022,12,08,22,07,18,27.070000,87,19.620000,1022,6.910000,140,1670510363,1670544004,75
1670566507,2022,12,08,23,15,07,27.500000,86,19.330000,1021,8.050000,170,1670510362,1670544003,0
1670570110,2022,12,09,00,15,10,27.280000,84,16.030000,1021,13.800000,170,1670596814,1670630403,75
1670573704,2022,12,09,01,15,04,27.970000,83,16.430000,1020,14.970000,140,1670596814,1670630403,100
1670577304,2022,12,09,02,15,04,28.720000,80,20.100000,1019,9.220000,110,1670596814,1670630403,75
1670580906,2022,12,09,03,15,06,29.460000,78,21.020000,1018,9.220000,140,1670596814,1670630403,75
1670584505,2022,12,09,04,15,05,30.220000,76,20.250000,1017,12.660000,190,1670596814,1670630403,75
1670588108,2022,12,09,05,15,08,30.740000,75,24.040000,1017,6.910000,170,1670596814,1670630403,75
1670591704,2022,12,09,06,15,04,31.190000,75,23.140000,1017,9.220000,220,1670596814,1670630403,100
1670595304,2022,12,09,07,15,04,31.420000,75,20.860000,1017,14.970000,190,1670596814,1670630403,100
1670598869,2022,12,09,08,14,29,31.620000,73,19.620000,1016,19.570000,170,1670596814,1670630402,75
1670602017,2022,12,09,09,06,57,33.510000,69,22.770000,1017,17.270000,150,1670596817,1670630404,75
1670605872,2022,12,09,10,11,12,36.160000,62,27.320000,1017,13.800000,180,1670596817,1670630404,100
1670609510,2022,12,09,11,11,50,38.280000,58,28.630000,1018,18.410000,150,1670596816,1670630404,75
1670613304,2022,12,09,12,15,04,37.810000,66,29.840000,1018,12.660000,170,1670596814,1670630403,75
1670616553,2022,12,09,13,09,13,36.840000,71,27.810000,1019,14.970000,340,1670596815,1670630404,75
1670620506,2022,12,09,14,15,06,36.050000,72,26.780000,1019,15.010000,321,1670596814,1670630403,75
1670623827,2022,12,09,15,10,27,36.450000,71,30.900000,1019,6.910000,360,1670596815,1670630402,75
1670627528,2022,12,09,16,12,08,36.570000,68,32.790000,1020,4.610000,10,1670596816,1670630403,75
1670631304,2022,12,09,17,15,04,34.590000,69,34.590000,1020,0.000000,0,1670596814,1670630403,75
1670634904,2022,12,09,18,15,04,32.500000,75,28.040000,1020,4.610000,230,1670596814,1670630403,100
1670638504,2022,12,09,19,15,04,31.230000,76,26.550000,1020,4.610000,230,1670596814,1670630403,40
1670642104,2022,12,09,20,15,04,30.150000,78,23.320000,1020,6.910000,230,1670596814,1670630403,75
1670645508,2022,12,09,21,11,48,29.120000,79,21.310000,1020,8.050000,220,1670596815,1670630404,0
1670648791,2022,12,09,22,06,31,29.340000,78,22.350000,1019,6.910000,140,1670596817,1670630404,75
1670652809,2022,12,09,23,13,29,29.280000,78,20.790000,1019,9.220000,120,1670596816,1670630404,75
1670656506,2022,12,10,00,15,06,29.080000,78,19.350000,1019,11.500000,170,1670683264,1670716806,40
1670660104,2022,12,10,01,15,04,29.980000,77,19.470000,1018,13.800000,180,1670683264,1670716806,75
1670663707,2022,12,10,02,15,07,29.800000,75,19.720000,1018,12.660000,150,1670683264,1670716806,20
1670667306,2022,12,10,03,15,06,30.220000,72,19.330000,1018,14.970000,180,1670683264,1670716806,40
1670670906,2022,12,10,04,15,06,29.430000,73,16.830000,1017,19.570000,170,1670683264,1670716806,75
1670674504,2022,12,10,05,15,04,30.900000,70,18.340000,1016,20.710000,190,1670683264,1670716806,100
1670677753,2022,12,10,06,09,13,32.560000,66,21.180000,1016,18.410000,170,1670683265,1670716806,100
1670681598,2022,12,10,07,13,18,33.460000,65,21.700000,1016,20.710000,160,1670683265,1670716807,100
1670685265,2022,12,10,08,14,25,33.600000,65,21.310000,1016,23.020000,140,1670683265,1670716806,75
1670688909,2022,12,10,09,15,09,35.820000,59,25.110000,1017,19.570000,140,1670683264,1670716806,75
1670692504,2022,12,10,10,15,04,39.020000,52,30.240000,1017,16.110000,170,1670683264,1670716806,75
