utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670544918,2022,12,08,17,15,18,39.900000,90,35.820000,1025,5.750000,50,1670503231,1670536594,100
1670548515,2022,12,08,18,15,15,38.800000,91,34.500000,1025,5.750000,30,1670503231,1670536594,100
1670552114,2022,12,08,19,15,14,38.160000,92,33.750000,1025,5.750000,30,1670503231,1670536594,40
1670555376,2022,12,08,20,09,36,36.880000,94,32.040000,1023,5.990000,44,1670503230,1670536592,59
1670559321,2022,12,08,21,15,21,35.890000,94,30.790000,1021,6.080000,48,1670503231,1670536594,50
1670562915,2022,12,08,22,15,15,34.830000,95,34.830000,1024,0.000000,0,1670589683,1670622994,75
1670566534,2022,12,08,23,15,34,34.990000,92,28.450000,1025,8.050000,50,1670589683,1670622994,20
1670570129,2022,12,09,00,15,29,34.810000,94,28.240000,1025,8.050000,70,1670589683,1670622994,100
1670573713,2022,12,09,01,15,13,35.730000,94,30.040000,1025,6.910000,60,1670589683,1670622994,100
1670577314,2022,12,09,02,15,14,36.450000,91,29.620000,1025,9.220000,60,1670589683,1670622994,100
1670580920,2022,12,09,03,15,20,36.120000,92,29.840000,1024,8.050000,60,1670589683,1670622994,100
1670584517,2022,12,09,04,15,17,36.070000,91,29.160000,1024,9.220000,70,1670589683,1670622994,100
1670588118,2022,12,09,05,15,18,35.670000,88,28.670000,1024,9.220000,80,1670589683,1670622994,100
1670591716,2022,12,09,06,15,16,34.990000,88,29.160000,1023,6.910000,80,1670589683,1670622994,75
1670595325,2022,12,09,07,15,25,36.520000,81,30.990000,1024,6.910000,70,1670589683,1670622994,75
1670598929,2022,12,09,08,15,29,38.410000,76,31.050000,1024,11.500000,60,1670589683,1670622994,0
1670602518,2022,12,09,09,15,18,40.240000,72,32.920000,1023,12.660000,80,1670589683,1670622994,0
1670606117,2022,12,09,10,15,17,41.540000,68,34.970000,1023,11.500000,80,1670589683,1670622994,0
1670609718,2022,12,09,11,15,18,42.690000,66,37.310000,1022,9.220000,100,1670589683,1670622994,0
1670613327,2022,12,09,12,15,27,42.960000,67,37.170000,1021,10.360000,60,1670589683,1670622994,20
1670616918,2022,12,09,13,15,18,43.070000,67,37.780000,1021,9.220000,90,1670589683,1670622994,0
1670620517,2022,12,09,14,15,17,41.850000,69,34.210000,1021,14.970000,40,1670589683,1670622994,0
1670624112,2022,12,09,15,15,12,40.030000,72,31.870000,1021,14.970000,40,1670589683,1670622994,0
1670627714,2022,12,09,16,15,14,38.890000,75,30.430000,1021,14.970000,50,1670589683,1670622994,0
1670631314,2022,12,09,17,15,14,38.340000,75,29.350000,1021,16.110000,50,1670589683,1670622994,0
1670634913,2022,12,09,18,15,13,37.800000,75,29.820000,1021,12.660000,50,1670589683,1670622994,40
1670638515,2022,12,09,19,15,15,37.220000,75,29.550000,1021,11.500000,40,1670589683,1670622994,40
1670642113,2022,12,09,20,15,13,36.660000,76,28.850000,1022,11.500000,50,1670589683,1670622994,75
1670645713,2022,12,09,21,15,13,36.160000,77,29.880000,1021,8.050000,70,1670589683,1670622994,100
1670649317,2022,12,09,22,15,17,35.650000,76,27.590000,1021,11.500000,60,1670676134,1670709396,100
1670652913,2022,12,09,23,15,13,35.260000,77,28.150000,1021,9.220000,50,1670676134,1670709396,100
1670656517,2022,12,10,00,15,17,34.830000,79,29.790000,1021,5.750000,70,1670676134,1670709396,100
1670660116,2022,12,10,01,15,16,34.660000,79,28.060000,1021,8.050000,100,1670676134,1670709396,100
1670663727,2022,12,10,02,15,27,34.750000,77,28.870000,1021,6.910000,90,1670676134,1670709396,40
1670667321,2022,12,10,03,15,21,34.770000,78,28.890000,1021,6.910000,50,1670676134,1670709396,100
1670670931,2022,12,10,04,15,31,34.840000,79,29.800000,1021,5.750000,50,1670676134,1670709396,100
1670674513,2022,12,10,05,15,13,34.340000,80,29.210000,1022,5.750000,50,1670676134,1670709396,100
1670678128,2022,12,10,06,15,28,33.820000,81,27.030000,1022,8.050000,60,1670676134,1670709396,40
