utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670544920,2022,12,08,17,15,20,46.200000,68,39.510000,1023,16.110000,320,1670501296,1670534900,20
1670548517,2022,12,08,18,15,17,45.190000,67,39.540000,1023,11.500000,330,1670501296,1670534900,0
1670552116,2022,12,08,19,15,16,44.170000,68,37.180000,1023,14.970000,340,1670501296,1670534900,0
1670555716,2022,12,08,20,15,16,42.780000,71,37.420000,1024,9.220000,340,1670501296,1670534900,0
1670559324,2022,12,08,21,15,24,41.410000,73,34.390000,1024,12.660000,10,1670501296,1670534900,0
1670562917,2022,12,08,22,15,17,40.010000,73,33.040000,1024,11.500000,360,1670587748,1670621301,0
1670566536,2022,12,08,23,15,36,38.500000,73,29.930000,1024,14.970000,10,1670587748,1670621301,0
1670570131,2022,12,09,00,15,31,37.310000,71,30.690000,1025,9.220000,350,1670587748,1670621301,0
1670573715,2022,12,09,01,15,15,36.300000,71,27.100000,1025,14.970000,360,1670587748,1670621301,0
1670577316,2022,12,09,02,15,16,35.690000,70,27.630000,1024,11.500000,30,1670587748,1670621301,0
1670580924,2022,12,09,03,15,24,35.240000,71,27.570000,1024,10.360000,10,1670587748,1670621301,0
1670584202,2022,12,09,04,10,02,34.970000,71,26.730000,1024,11.500000,10,1670587748,1670621301,0
1670587806,2022,12,09,05,10,06,34.660000,71,26.850000,1025,10.360000,10,1670587748,1670621301,0
1670591718,2022,12,09,06,15,18,35.110000,71,25.590000,1025,14.970000,10,1670587748,1670621301,0
1670595330,2022,12,09,07,15,30,37.290000,66,28.020000,1025,16.110000,10,1670587748,1670621301,0
1670598931,2022,12,09,08,15,31,39.450000,61,31.510000,1025,13.800000,20,1670587748,1670621301,0
1670602521,2022,12,09,09,15,21,41.490000,55,34.900000,1025,11.500000,360,1670587748,1670621301,0
1670606122,2022,12,09,10,15,22,43.270000,52,37.130000,1024,11.500000,30,1670587748,1670621301,0
1670609439,2022,12,09,11,10,39,44.560000,48,39.610000,1024,9.220000,350,1670587748,1670621301,0
1670613082,2022,12,09,12,11,22,45.590000,44,40.050000,1024,11.500000,10,1670587748,1670621301,0
1670616920,2022,12,09,13,15,20,45.410000,44,39.430000,1024,12.660000,360,1670587748,1670621301,0
1670620519,2022,12,09,14,15,19,43.840000,45,37.450000,1024,12.660000,360,1670587748,1670621301,0
1670624114,2022,12,09,15,15,14,41.160000,50,34.930000,1024,10.360000,360,1670587748,1670621301,0
1670627716,2022,12,09,16,15,16,39.180000,52,31.570000,1024,12.660000,340,1670587748,1670621301,0
1670631317,2022,12,09,17,15,17,37.540000,51,29.080000,1025,13.800000,360,1670587748,1670621301,0
1670634409,2022,12,09,18,06,49,36.500000,49,28.650000,1025,11.500000,10,1670587748,1670621301,0
1670638517,2022,12,09,19,15,17,35.710000,45,27.180000,1025,12.660000,10,1670587748,1670621301,0
1670642115,2022,12,09,20,15,15,35.060000,42,27.360000,1025,10.360000,20,1670587748,1670621301,0
1670645717,2022,12,09,21,15,17,34.140000,41,27.430000,1026,8.050000,360,1670587748,1670621301,0
1670649319,2022,12,09,22,15,19,33.130000,44,26.920000,1025,6.910000,60,1670674198,1670707703,0
1670652921,2022,12,09,23,15,21,32.410000,48,24.660000,1026,9.220000,10,1670674198,1670707703,0
1670656519,2022,12,10,00,15,19,31.770000,52,23.250000,1026,10.360000,10,1670674198,1670707703,0
1670660119,2022,12,10,01,15,19,31.010000,57,24.370000,1026,6.910000,10,1670674198,1670707703,0
1670663729,2022,12,10,02,15,29,30.510000,60,21.130000,1026,11.500000,20,1670674198,1670707703,0
1670667323,2022,12,10,03,15,23,29.820000,62,20.280000,1026,11.500000,10,1670674198,1670707703,0
1670670933,2022,12,10,04,15,33,29.530000,63,20.480000,1027,10.360000,10,1670674198,1670707703,0
1670674274,2022,12,10,05,11,14,28.810000,64,19.580000,1028,10.360000,20,1670674199,1670707703,0
1670678130,2022,12,10,06,15,30,29.800000,64,20.250000,1028,11.500000,10,1670674198,1670707703,0
1670681715,2022,12,10,07,15,15,32.430000,59,23.540000,1028,11.500000,30,1670674198,1670707703,0
1670685016,2022,12,10,08,10,16,35.170000,55,24.580000,1029,18.410000,50,1670674198,1670707703,0
1670688930,2022,12,10,09,15,30,36.640000,55,26.510000,1028,18.410000,50,1670674198,1670707703,0
1670692416,2022,12,10,10,13,36,38.170000,56,29.890000,1028,13.800000,60,1670674199,1670707704,0
1670695874,2022,12,10,11,11,14,38.980000,57,31.770000,1028,11.500000,50,1670674199,1670707703,0
1670699434,2022,12,10,12,10,34,39.880000,57,32.880000,1028,11.500000,50,1670674198,1670707703,0
1670703315,2022,12,10,13,15,15,39.610000,60,33.010000,1028,10.360000,50,1670674198,1670707703,75
1670706472,2022,12,10,14,07,52,38.570000,62,32.810000,1028,8.050000,120,1670674199,1670707704,0
1670710515,2022,12,10,15,15,15,36.930000,67,30.220000,1028,9.220000,60,1670674198,1670707703,40
1670714116,2022,12,10,16,15,16,35.960000,71,28.470000,1028,10.360000,70,1670674198,1670707703,0
1670721339,2022,12,10,18,15,39,34.970000,75,29.140000,1029,6.910000,120,1670674198,1670707703,100
1670724915,2022,12,10,19,15,15,34.930000,73,29.910000,1028,5.750000,90,1670674198,1670707703,100
1670728525,2022,12,10,20,15,25,35.220000,71,26.560000,1028,12.660000,80,1670674198,1670707703,100
1670732116,2022,12,10,21,15,16,35.490000,71,26.470000,1028,13.800000,70,1670674198,1670707703,100
1670735715,2022,12,10,22,15,15,35.710000,74,26.350000,1028,14.970000,70,1670760647,1670794108,100
1670739316,2022,12,10,23,15,16,35.670000,78,26.710000,1028,13.800000,40,1670760647,1670794108,100
1670742915,2022,12,11,00,15,15,35.620000,78,25.500000,1027,17.270000,60,1670760647,1670794108,100
1670746515,2022,12,11,01,15,15,35.460000,76,25.650000,1027,16.110000,60,1670760647,1670794108,100
1670750116,2022,12,11,02,15,16,35.380000,76,25.200000,1027,17.270000,60,1670760647,1670794108,100
1670753723,2022,12,11,03,15,23,35.490000,75,26.080000,1026,14.970000,50,1670760647,1670794108,100
1670757320,2022,12,11,04,15,20,35.530000,76,25.050000,1025,18.410000,60,1670760647,1670794108,100
1670760915,2022,12,11,05,15,15,35.370000,77,26.330000,1025,13.800000,70,1670760647,1670794108,100
1670764516,2022,12,11,06,15,16,35.690000,77,26.730000,1025,13.800000,70,1670760647,1670794108,100
1670768115,2022,12,11,07,15,15,36.140000,77,27.730000,1025,12.660000,60,1670760647,1670794108,100
1670771377,2022,12,11,08,09,37,36.640000,77,28.830000,1025,11.500000,70,1670760648,1670794108,100
1670775268,2022,12,11,09,14,28,36.930000,79,29.190000,1023,11.500000,80,1670760648,1670794108,100
1670778916,2022,12,11,10,15,16,37.240000,81,29.120000,1022,12.660000,60,1670760647,1670794108,100
1670782516,2022,12,11,11,15,16,37.260000,85,30.070000,1021,10.360000,70,1670760647,1670794108,100
1670785833,2022,12,11,12,10,33,37.220000,87,29.550000,1020,11.500000,60,1670760647,1670794108,100
1670789435,2022,12,11,13,10,35,36.590000,87,28.290000,1019,12.660000,70,1670760647,1670794108,100
1670793037,2022,12,11,14,10,37,36.120000,88,28.670000,1019,10.360000,80,1670760647,1670794108,100
1670796915,2022,12,11,15,15,15,35.580000,89,27.500000,1019,11.500000,60,1670760647,1670794108,100
1670800515,2022,12,11,16,15,15,34.930000,90,25.770000,1019,13.800000,60,1670760647,1670794108,100
1670803802,2022,12,11,17,10,02,34.590000,90,26.760000,1018,10.360000,40,1670760648,1670794108,100
1670807721,2022,12,11,18,15,21,34.000000,91,26.600000,1018,9.220000,10,1670760647,1670794108,100
1670811315,2022,12,11,19,15,15,33.550000,91,28.270000,1018,5.750000,30,1670760647,1670794108,100
1670814500,2022,12,11,20,08,20,33.300000,91,23.680000,1018,13.800000,20,1670760648,1670794108,100
1670818516,2022,12,11,21,15,16,32.920000,90,24.150000,1018,11.500000,350,1670760647,1670794108,100
1670822116,2022,12,11,22,15,16,32.540000,91,23.180000,1018,12.660000,10,1670847095,1670880515,100
1670825720,2022,12,11,23,15,20,32.360000,90,23.990000,1018,10.360000,30,1670847095,1670880515,100
1670829111,2022,12,12,00,11,51,32.070000,90,24.220000,1018,9.220000,10,1670847093,1670880516,100
1670832916,2022,12,12,01,15,16,31.870000,90,23.990000,1018,9.220000,350,1670847095,1670880515,100
1670836515,2022,12,12,02,15,15,31.300000,90,23.950000,1018,8.050000,350,1670847095,1670880515,0
1670840118,2022,12,12,03,15,18,30.790000,90,23.340000,1019,8.050000,350,1670847095,1670880515,0
1670843718,2022,12,12,04,15,18,30.700000,89,21.380000,1019,11.500000,360,1670847095,1670880515,75
1670847315,2022,12,12,05,15,15,31.030000,89,22.330000,1020,10.360000,350,1670847095,1670880515,100
1670850916,2022,12,12,06,15,16,31.510000,88,25.860000,1021,5.750000,360,1670847095,1670880515,100
1670853175,2022,12,12,06,52,55,32.520000,88,29.320000,1020,3.440000,60,1670847095,1670880515,100
1670857349,2022,12,12,08,02,29,33.750000,86,24.260000,1021,13.800000,30,1670847095,1670880515,100
1670860730,2022,12,12,08,58,50,34.590000,86,30.110000,1021,5.010000,6,1670847095,1670880515,26
1670864537,2022,12,12,10,02,17,35.620000,84,27.070000,1021,12.660000,350,1670847095,1670880515,75
1670868136,2022,12,12,11,02,16,36.210000,82,27.390000,1021,13.800000,350,1670847095,1670880515,100
1670871331,2022,12,12,11,55,31,36.230000,83,32.040000,1020,5.010000,327,1670847095,1670880515,75
1670875245,2022,12,12,13,00,45,35.550000,81,27.450000,1021,11.500000,350,1670847094,1670880515,100
1670878942,2022,12,12,14,02,22,34.610000,80,24.940000,1021,14.970000,360,1670847095,1670880515,75
1670882541,2022,12,12,15,02,21,33.530000,79,22.120000,1022,19.570000,340,1670847095,1670880515,0
1670886135,2022,12,12,16,02,15,32.050000,78,20.880000,1023,17.270000,360,1670847095,1670880515,0
1670889522,2022,12,12,16,58,42,31.230000,77,25.520000,1023,5.750000,30,1670847095,1670880515,40
1670893335,2022,12,12,18,02,15,30.360000,76,21.510000,1024,10.360000,10,1670847095,1670880515,0
1670896935,2022,12,12,19,02,15,29.550000,78,21.130000,1024,9.220000,360,1670847095,1670880515,0
1670900535,2022,12,12,20,02,15,28.720000,78,19.470000,1024,10.360000,10,1670847095,1670880515,0
1670904135,2022,12,12,21,02,15,27.910000,79,18.460000,1024,10.360000,350,1670847095,1670880515,0
1670907736,2022,12,12,22,02,16,27.210000,79,18.250000,1024,9.220000,330,1670933540,1670966924,0
1670911347,2022,12,12,23,02,27,26.440000,80,15.480000,1024,12.660000,320,1670933540,1670966924,0
1670914936,2022,12,13,00,02,16,26.190000,80,14.650000,1025,13.800000,330,1670933540,1670966924,0
1670918543,2022,12,13,01,02,23,25.790000,80,15.840000,1025,10.360000,340,1670933540,1670966924,0
1670922137,2022,12,13,02,02,17,25.290000,81,18.250000,1025,5.990000,352,1670933540,1670966924,3
1670925423,2022,12,13,02,57,03,24.910000,81,18.730000,1024,5.010000,322,1670933540,1670966924,3
1670928760,2022,12,13,03,52,40,24.440000,80,20.080000,1025,3.440000,60,1670933541,1670966924,0
1670932967,2022,12,13,05,02,47,24.190000,79,14.520000,1026,9.220000,340,1670933540,1670966924,0
1670936072,2022,12,13,05,54,32,24.350000,81,18.540000,1026,4.590000,314,1670933541,1670966924,0
1670940161,2022,12,13,07,02,41,26.670000,74,15.760000,1026,12.660000,330,1670933540,1670966924,0
1670943736,2022,12,13,08,02,16,29.280000,68,19.060000,1026,12.660000,350,1670933540,1670966924,0
1670946981,2022,12,13,08,56,21,31.500000,65,26.470000,1025,5.010000,321,1670933541,1670966924,0
1670950960,2022,12,13,10,02,40,34.840000,57,26.560000,1024,11.500000,360,1670933540,1670966924,0
1670954448,2022,12,13,11,00,48,37.150000,53,34.020000,1023,4.000000,316,1670933540,1670966924,0
1670958161,2022,12,13,12,02,41,39.060000,49,31.010000,1023,13.800000,340,1670933540,1670966924,0
1670961654,2022,12,13,13,00,54,39.510000,47,37.810000,1022,3.000000,326,1670933540,1670966924,0
1670965336,2022,12,13,14,02,16,38.460000,49,32.680000,1023,8.050000,330,1670933540,1670966924,0
1670968942,2022,12,13,15,02,22,35.670000,57,28.670000,1023,9.220000,300,1670933540,1670966924,0
1670972359,2022,12,13,15,59,19,33.840000,62,30.200000,1023,4.000000,270,1670933541,1670966924,0
1670976135,2022,12,13,17,02,15,33.060000,63,22.570000,1022,16.110000,290,1670933540,1670966924,0
1670979742,2022,12,13,18,02,22,32.830000,63,21.880000,1022,17.270000,300,1670933540,1670966924,0
1670983338,2022,12,13,19,02,18,32.090000,64,23.130000,1022,11.500000,300,1670933540,1670966924,0
1670986939,2022,12,13,20,02,19,31.150000,67,23.770000,1021,8.050000,320,1670933540,1670966924,0
