utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670544915,2022,12,08,17,15,15,35.600000,81,29.190000,1026,8.050000,40,1670504687,1670538038,0
1670548513,2022,12,08,18,15,13,34.930000,83,29.080000,1026,6.910000,50,1670504687,1670538038,0
1670552111,2022,12,08,19,15,11,34.810000,85,29.770000,1026,5.750000,50,1670504687,1670538038,0
1670555712,2022,12,08,20,15,12,34.740000,85,29.680000,1025,5.750000,70,1670504687,1670538038,0
1670559317,2022,12,08,21,15,17,34.500000,84,28.560000,1025,6.910000,70,1670504687,1670538038,0
1670562911,2022,12,08,22,15,11,34.110000,83,28.940000,1025,5.750000,70,1670504687,1670538038,40
1670566525,2022,12,08,23,15,25,33.800000,84,27.720000,1024,6.910000,90,1670591140,1670624438,0
1670570123,2022,12,09,00,15,23,33.760000,86,29.500000,1024,4.610000,70,1670591140,1670624438,40
1670573710,2022,12,09,01,15,10,35.110000,86,28.600000,1025,8.080000,93,1670591140,1670624438,28
1670577311,2022,12,09,02,15,11,34.790000,87,29.750000,1023,5.750000,100,1670591140,1670624438,100
1670580917,2022,12,09,03,15,17,35.080000,87,27.930000,1022,9.220000,90,1670591140,1670624438,100
1670584514,2022,12,09,04,15,14,35.110000,86,26.910000,1022,11.500000,100,1670591140,1670624438,100
1670588115,2022,12,09,05,15,15,34.700000,88,26.380000,1021,11.500000,110,1670591140,1670624438,100
1670591714,2022,12,09,06,15,14,34.200000,91,24.840000,1021,13.800000,100,1670591140,1670624438,100
1670595056,2022,12,09,07,10,56,33.930000,92,27.880000,1021,6.910000,120,1670591141,1670624439,100
1670598916,2022,12,09,08,15,16,34.380000,93,25.990000,1021,11.500000,100,1670591140,1670624438,100
1670602516,2022,12,09,09,15,16,34.630000,92,24.580000,1020,16.110000,90,1670591140,1670624438,100
1670606114,2022,12,09,10,15,14,35.420000,93,28.980000,1021,8.050000,100,1670591140,1670624438,100
1670609714,2022,12,09,11,15,14,35.690000,93,28.690000,1020,9.220000,100,1670591140,1670624438,100
1670613312,2022,12,09,12,15,12,35.920000,93,27.930000,1019,11.500000,90,1670591140,1670624438,100
1670616916,2022,12,09,13,15,16,36.030000,94,29.100000,1019,9.220000,100,1670591140,1670624438,100
1670620515,2022,12,09,14,15,15,36.030000,94,28.560000,1019,10.360000,100,1670591140,1670624438,100
1670624110,2022,12,09,15,15,10,36.090000,94,28.630000,1020,10.360000,90,1670591140,1670624438,100
1670627711,2022,12,09,16,15,11,35.910000,94,30.250000,1021,6.910000,70,1670591140,1670624438,100
1670631311,2022,12,09,17,15,11,35.910000,93,31.060000,1021,5.750000,90,1670591140,1670624438,100
1670634911,2022,12,09,18,15,11,35.940000,93,28.990000,1022,9.220000,90,1670591140,1670624438,100
1670638511,2022,12,09,19,15,11,35.910000,92,30.250000,1022,6.910000,90,1670591140,1670624438,100
1670642110,2022,12,09,20,15,10,35.870000,92,29.530000,1022,8.050000,100,1670591140,1670624438,100
1670645710,2022,12,09,21,15,10,35.740000,93,29.370000,1022,8.050000,90,1670591140,1670624438,100
