utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670544919,2022,12,08,17,15,19,42.370000,68,36.910000,1025,9.220000,20,1670501994,1670535565,40
1670548377,2022,12,08,18,12,57,41.020000,70,37.130000,1025,5.750000,20,1670501994,1670535567,0
1670552115,2022,12,08,19,15,15,40.280000,69,35.530000,1026,6.910000,10,1670501994,1670535565,0
1670555715,2022,12,08,20,15,15,38.710000,69,33.640000,1025,6.910000,10,1670501994,1670535565,0
1670559322,2022,12,08,21,15,22,37.240000,72,32.650000,1026,5.750000,360,1670501994,1670535565,0
1670562916,2022,12,08,22,15,16,36.880000,72,33.130000,1025,4.610000,350,1670588446,1670621966,20
1670566535,2022,12,08,23,15,35,35.780000,72,31.860000,1025,4.610000,360,1670588446,1670621966,20
1670569538,2022,12,09,00,05,38,34.020000,76,30.400000,1025,4.000000,338,1670588446,1670621967,0
1670573714,2022,12,09,01,15,14,33.120000,76,30.580000,1026,3.000000,314,1670588446,1670621966,0
1670577315,2022,12,09,02,15,15,31.320000,79,28.540000,1026,3.000000,327,1670588446,1670621966,0
1670580922,2022,12,09,03,15,22,31.120000,80,24.440000,1026,7.000000,306,1670588446,1670621966,0
1670584518,2022,12,09,04,15,18,30.760000,80,25.610000,1026,5.010000,338,1670588446,1670621966,0
1670588120,2022,12,09,05,15,20,30.380000,81,26.200000,1026,4.000000,341,1670588446,1670621966,37
1670591717,2022,12,09,06,15,17,30.560000,82,30.560000,1026,1.990000,329,1670588446,1670621966,0
1670595327,2022,12,09,07,15,27,34.680000,77,29.610000,1026,5.750000,350,1670588446,1670621966,0
1670598745,2022,12,09,08,12,25,37.710000,72,31.770000,1027,8.050000,10,1670588446,1670621967,0
1670602519,2022,12,09,09,15,19,39.110000,68,33.480000,1026,8.050000,20,1670588446,1670621966,0
1670606120,2022,12,09,10,15,20,41.220000,63,36.660000,1026,6.910000,10,1670588446,1670621966,0
1670609719,2022,12,09,11,15,19,42.670000,61,37.290000,1025,9.220000,40,1670588446,1670621966,0
1670613328,2022,12,09,12,15,28,43.380000,56,38.680000,1025,8.050000,350,1670588446,1670621966,0
1670616919,2022,12,09,13,15,19,43.180000,57,38.430000,1024,8.050000,340,1670588446,1670621966,0
1670620518,2022,12,09,14,15,18,41.050000,60,35.850000,1024,8.050000,20,1670588446,1670621966,0
1670624113,2022,12,09,15,15,13,38.070000,64,32.810000,1024,7.000000,334,1670588446,1670621966,0
1670627662,2022,12,09,16,14,22,35.490000,69,29.770000,1025,6.910000,10,1670588446,1670621967,0
1670631315,2022,12,09,17,15,15,33.210000,72,28.850000,1025,4.610000,10,1670588446,1670621966,0
1670634914,2022,12,09,18,15,14,31.730000,75,26.110000,1026,5.750000,330,1670588446,1670621966,0
1670638516,2022,12,09,19,15,16,30.560000,78,23.830000,1027,6.910000,330,1670588446,1670621966,0
1670642114,2022,12,09,20,15,14,29.710000,80,26.110000,1026,3.440000,10,1670588446,1670621966,0
1670645715,2022,12,09,21,15,15,28.710000,81,28.710000,1026,1.990000,39,1670588446,1670621966,0
1670649318,2022,12,09,22,15,18,27.860000,82,27.860000,1026,0.000000,0,1670674896,1670708368,0
1670652919,2022,12,09,23,15,19,27.010000,86,21.630000,1026,4.610000,340,1670674896,1670708368,0
1670656518,2022,12,10,00,15,18,26.650000,85,22.620000,1026,3.440000,320,1670674896,1670708368,0
1670660117,2022,12,10,01,15,17,25.650000,87,20.030000,1026,4.610000,350,1670674896,1670708368,0
1670663610,2022,12,10,02,13,30,25.990000,88,21.870000,1027,3.440000,330,1670674897,1670708369,0
1670667322,2022,12,10,03,15,22,24.800000,91,20.500000,1027,3.440000,320,1670674896,1670708368,0
1670670932,2022,12,10,04,15,32,23.540000,91,23.540000,1028,0.000000,0,1670674896,1670708368,0
1670674514,2022,12,10,05,15,14,22.860000,92,18.280000,1028,3.440000,330,1670674896,1670708368,0
1670678129,2022,12,10,06,15,29,21.920000,93,17.200000,1029,3.440000,320,1670674896,1670708368,0
1670681404,2022,12,10,07,10,04,27.430000,93,27.430000,1029,0.000000,0,1670674897,1670708369,0
1670685315,2022,12,10,08,15,15,32.450000,80,27.970000,1029,4.610000,60,1670674896,1670708368,0
1670688928,2022,12,10,09,15,28,34.680000,71,34.680000,1028,1.010000,356,1670674896,1670708368,0
1670692515,2022,12,10,10,15,15,38.300000,62,38.300000,1027,1.010000,209,1670674896,1670708368,0
1670695951,2022,12,10,11,12,31,40.440000,57,38.370000,1026,3.440000,20,1670674897,1670708369,0
1670699718,2022,12,10,12,15,18,42.130000,53,39.270000,1025,4.610000,70,1670674896,1670708368,0
1670703314,2022,12,10,13,15,14,42.060000,52,42.060000,1026,0.000000,0,1670674896,1670708368,0
1670706914,2022,12,10,14,15,14,39.270000,59,35.940000,1025,4.610000,10,1670674896,1670708368,0
