utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670544914,2022,12,08,17,15,14,35.780000,73,26.850000,1025,13.800000,70,1670504986,1670538407,40
1670548512,2022,12,08,18,15,12,35.560000,73,26.170000,1025,14.970000,80,1670504986,1670538407,100
1670552111,2022,12,08,19,15,11,34.360000,76,26.470000,1025,10.360000,80,1670504986,1670538407,40
1670555711,2022,12,08,20,15,11,32.540000,80,24.800000,1025,9.220000,60,1670504986,1670538407,40
1670559316,2022,12,08,21,15,16,32.590000,81,24.280000,1025,10.360000,70,1670504986,1670538407,75
1670562910,2022,12,08,22,15,10,34.300000,77,24.960000,1024,13.800000,80,1670504986,1670538407,100
1670566523,2022,12,08,23,15,23,36.050000,77,28.580000,1023,10.360000,80,1670591438,1670624806,100
1670570123,2022,12,09,00,15,23,36.090000,77,29.170000,1023,9.220000,80,1670591438,1670624806,100
1670573710,2022,12,09,01,15,10,37.670000,74,28.870000,1021,14.970000,90,1670591438,1670624806,100
1670577310,2022,12,09,02,15,10,36.540000,81,27.410000,1021,14.970000,90,1670591438,1670624806,100
1670580916,2022,12,09,03,15,16,36.520000,85,29.160000,1020,10.360000,90,1670591438,1670624806,100
1670584514,2022,12,09,04,15,14,36.550000,86,27.070000,1019,16.110000,90,1670591438,1670624806,100
1670588115,2022,12,09,05,15,15,36.070000,87,26.080000,1018,17.270000,100,1670591438,1670624806,100
1670591713,2022,12,09,06,15,13,35.960000,87,25.290000,1018,19.570000,100,1670591438,1670624806,100
1670595319,2022,12,09,07,15,19,35.960000,87,25.950000,1019,17.270000,100,1670591438,1670624806,100
1670598915,2022,12,09,08,15,15,36.030000,87,28.560000,1019,10.360000,100,1670591438,1670624806,100
1670602515,2022,12,09,09,15,15,36.590000,88,28.760000,1019,11.500000,90,1670591438,1670624806,100
1670606113,2022,12,09,10,15,13,36.680000,90,28.420000,1019,12.660000,90,1670591438,1670624806,100
1670609714,2022,12,09,11,15,14,36.680000,91,28.870000,1018,11.500000,80,1670591438,1670624806,100
1670613312,2022,12,09,12,15,12,36.840000,91,28.200000,1018,13.800000,90,1670591438,1670624806,100
1670616915,2022,12,09,13,15,15,37.290000,91,30.130000,1019,10.360000,70,1670591438,1670624806,100
1670620514,2022,12,09,14,15,14,37.240000,91,30.060000,1019,10.360000,60,1670591438,1670624806,100
1670624109,2022,12,09,15,15,09,37.900000,88,30.400000,1020,11.500000,60,1670591438,1670624806,100
1670627711,2022,12,09,16,15,11,36.680000,91,28.420000,1021,12.660000,50,1670591438,1670624806,100
1670631311,2022,12,09,17,15,11,36.680000,91,29.370000,1021,10.360000,60,1670591438,1670624806,100
